0氹	[tam]\n1. to cajole someone\n2. to pacify someone who is angry
㩒機	[gahm gēi]\n(to press machine)\nto get money from a cash dispenser
㬌	[gíng]\na view
㬌轟	[gíng gwáng]\na hidden reason, a reason that is not obvious, a secret motive
䟴䟴吓	[an an há/háh]\n(to wiggle one's body)\na person who is physically unsteady
䟴䟴腳	[an an geuk]\n(to jiggle one's feet)\nto rise up in the world; to have no worries
䟴腳	[an geuk]\nto jiggle one's feet
䟴身䟴勢	[un sān an sai]\n(to wiggle one's body)\n1. a person who is physically unsteady\n2. an ungainly or awkward person\n3. someone whose manner suggests they are low class
一	[yāt]\none
一五一十	[yāt ńgh yāt sahp]\nwith all the details, in full, with nothing left out (e.g. of an account of some incident)
一人行一步	[yāt yàhn hàahng yāt bouh]\n(each takes one step)\nto compromise, to have both sides make a concession
一人計短，二人計長	[yāt yàhn gai dyún, yih yàhn gai chèuhng]\n(one person's strategy is short, two people's strategy is long)\nby cooperating one can achieve more, "two heads are better than one".
一仆一碌	[yāt pūk yāt lūk]\n(one falls and one rolls)\nto be in a great hurry
一件頭	[yāt gihn tāu]\none-piece
一個崩都冇少到	[yāt go bāng dōu móuh síu dou]\nThere's not a cent missing.
一個願打，一個願捱	[yāt go yuhn dá, yāt go yuhn ngàaih]\n(one likes to hit, one likes to suffer)\na well-matched couple, a couple whose traits complement each other.
一刀兩斷	[yāt dōu léuhng dyuhn]\n(one cut two pieces)\nto make a clean break, to end a relationship, to have nothing more to do with
一劈屎	[yāt pehk sí]\n1. a piece of excrement\n2. a useless person, a "piece of shit"
一劈泥	[yāt pehk nàih]\n(a piece of mud)\na useless person, a "piece of shit"
一口咬定	[yāt háu ngáauh dihng]\n(to bite and hold)\nto be extremely firm in putting forward one's view, to hold firm to one's stance
一口氣	[yāt háu hei]\nin one breath (usually in reference to talking or drinking).
一句唔該使死人	[yāt geui m4 gōi sái séi yàhn]\n(one utterance of thank you and working someone to death)\nto make excessive demand on someone without offering reasonable reward.
一句講晒	[yāt geui góng saai]\n1. an instruction for someone to get to the main point, to clarify what they want to say: "spit it out!", "get on with it", "don't beat about the bush!"\n2. to be brief, to speak directly to the point
一哥	[yāt gō]\n(number one brother)\n1. a boss, a chief\n2. the Hong Kong police commissoner\n3. the Macau police commissioner\n4. a triad leader
一啖砂糖一啖屎	[yāt daahm sāa tòhng yāt daahm sí]\n(a taste of sugar and another of shit)\nto describe someone treats another person as alternating between being nice and being nasty
一國兩制	[yāt gwok léuhng jai]\n1. one country two systems\n2. a message parlour which offers both sexual services and ordinary massage
一夜情	[yāt yeh chìhng]\na one-night-stand, a one-time casual sexual encounter
一天光晒	[yāt tīn gwōng saai]\n(the sky all bright)\nused to convey that the trouble has passed
一字咁錢	[yāt jih gam chín]\n(as easy as character one)\nextremely simple, very easty, "as easy as 1-2-3", "as easy as ABC".
一家便宜兩家著	[yāt gā pìhn yìh léuhng gā jeuhk]\n(one familiy wins, two families benefit)\nto do something which is beneficial to both parties, a "win-win situation".
一就一，二就二	[yāt jauh yāt, yih juah yih]\n(one should be one and two should be two)\nthings should be made completely clear; distinctions should be clearly made
一干嘢	[yāt gōn yéh]\none thousand dollars
一戙都冇	[yāt duhng dōu móuh]\n(not a single pile left)\nleft speechless, utterly defeated; with no money left, "cleaned out" (especially in gambling)
一手一腳	[yāt sáu yāt geuk]\n(one hand one foot)\nto be on one's own
一扑一碌	[yāt pūk yāt lūk]\n(one falls and one rolls)\nto be in a great hurry
一把火	[yāt bá fó]\nextremely angry, filled with rage
一抽二lun	[yāt chāu yih lang]\n(pulling one, and dragging two others)\n1. carrying lots of different things\n2. to have lots of family responsibility (e.g. looking after aged parents, children, etc.)
一抽二lung	[yāt chāu yih lang]\n(pulling one, and dragging two others)\n1. carrying lots of different things\n2. to have lots of family responsibility (e.g. looking after aged parents, children, etc.)
一撇嘢	[yāt pit yéh]\none thousand dollars
一撇水	[yāt pit séui]\none thousand dollars
一擔擔	[yāt daam dāam]\nsimilar; two of a kind; "birds of a feather"
一支公	[yāt jī gūng]\nalone, by oneself (male).
一斤嘢	[yāt gān yéh]\na hundred dollars
一時一樣	[yāt sìh yāt yeuhng]\nalways changing one's mind, fickle
一時口快	[yāt sìh háu faai]\nto speak too quickly, i.e. to say the wrong thing
一時唔偷雞做保長	[yāt sìh m4 tāu gāi jouh bóu jéung]\n(just for once one does not steal a chicken, one becomes the head of the clan)\nused to criticise or to tease somebody who has always been misbehaved, but who has done something decent for once and is absurdly proud of it.
一本萬利	[yāt bún maahn leih]\nlarge profits gained from a small investment.
一本通書睇到老	[yāt bún tūng syū tái dou lóuh]\n(reading the same almanac into old age)\nrigid, inflexible
一朵鮮花插在牛糞上	[yāt dó sīn fā chaap joih ngàuh fan seuhng]\n(a fresh flower stuck in cow shit)\na beautiful woman with an ugly or unattractive man
一條冷	[yāt tìuh lāang]\na person, a guy (Cantonse rendering of Chiu Chow language)
一條龍	[yāt tìuh lùhng]\n(dragon)\n1. a way of organising education such that children move from primary to middle and high school in the same institution\n2. a complete service, available under one roof or at one location
一棚人	[yāt pàahng yàhn]\na group of people, a lot of people
一棟嘢	[yāt duhng yéh]\none thousand dollars.
一樓一	[yāt làuh yāt]\na one-woman vice establishment, one woman brothel (legal in Hong Kong)
一樓一架步	[yāt làuh yāt ga bouh]\na one-woman vice establishment, one woman brothel (legal in Hong Kong)
一樓一鳯	[yāt làuh yāt fúng]\n(one floor one phoenix)\na one-woman vice establishment, one woman brothel (legal in Hong Kong)
一樣米樣百樣人	[yāt yeuhng máih yéuhng baak yeuhng yàhn]\n(one kind of rice feeds a hundred kinds of people)\nthere are all kinds of people in the world (often used when commenting on someone's character).
一次生兩次熟	[yāt chi sāang léuhng chi suhk]\n(first raw second cooked)\n1. people get used to things quickly\n2. things that are hard at first become easier\n3. people gain experience quickly
一殼眼淚	[yāt hok ngáahn leuih]\n(a ladle of tears)\n1. to be tearful and distraught\n2. to suffer a tragedy
一沉百踩	[yāt chàhm baak cháai]\n(when someone has fallen, a hundred others will stomp on them)\nonce someone falls from power, other people are eager to criticise or exploit them.
一注香	[yāt jyu hēung]\na short period of time (i.e. the length of time it takes for one joss-stick to burn).
一流	[yāt làuh]\nhigh quality, top class, the best
一物治一物，糯米治木蝨	[yāt maht jih yāt maht, noh máih jih muhk sāt]\n(one thing rules over another, glutinous rice over bed-bugs)\neverything or everyone has something that dominates or constrains it.
一猜嘢	[yāt chā yéh]\none thousand dollars
一班嘩鬼	[yāt bāan wāa gwāi]\na bunch of kids, a group of young kids.
一理通，百理明	[yāt léih tūng, baak léih mìhng]\n(understanding one idea makes a hundred ideas comprehensible)\nonce one has mastered the basic idea, the rest is easy.
一疋布咁長	[yāt pāt bou gam chèuhng]\n(as long as a roll of cloth)\nused to preface a lengthy explanation or account, "it's a long story"
一皇兩后	[yāt wòhng léuhng hauh]\n(one king two queens)\n1. one man and two women having sex\n2. a man accompanied by two prostitutes, a man having sex with two prostitutes
一皇多后	[yāt wòhng dō hauh]\n(one kong more queens)\n1. one man and two or more woman having sex\n2. a man accompanied by two or more prostitutes
一皇雙后	[yāt wòhng sēung hauh]\n(one king two queens)\n1. one man and two women having sex\n2. a man accompanied by two prostitutes, a man having sex with two prostitutes
一皮嘢	[yāt pèih yéh]\nten thousands dollars
一眼關七	[yāt ngáahn gwāan chāt]\n(one eye following seven things)\nto be on the alert, to be "on the look-out"
一矢雙鵰	[yāt chí sēung dīu]\n(one arrow two eagles)\n1. kill two birds with one stone\n2. one man having sex with two women
一碌鳩	[yāt lūk gāu]\n(like a log)\nto be dim-witted, to be slow, to be dull, to be "a big lump"
一竹篙打一船人	[yāt jūk gōu dá yāt syùhn yàhn]\nto overgeneralise in assigning blame, e.g. to blame a whole group of people for one person's mistake.
一筆OUT銷	[yāt bāt āu sīu]\n(you are out the game)\na slogan used in the Hong Kong version of the quiz show "The Weakest Link", a play on the phrase 一筆勾銷 yāt bāt āu sīu.
一筆勾銷	[yāt bāt āu sīu]\neverything is cancelled; to eliminate at one stroke; all debts are paid off
一筆還一筆	[yāt bāt wàahn yāt bāt]\n(one sum belongs to one sum)\nto treat two things separately, to argue that two things should be treated separately
一箭雙鵰	[yāt jin sēung dīu]\n(to kill two birds of prey with one arrow)\n1. kill two birds with one stone\n2. one man having sex with two women
一粒臣	[yāt nāp sán]\na unit of ten cents
一粒花	[yāt nāp fā]\na police inspector, a probationary police inspector (police jargon, based on the badge design)
一粒鐘	[yāt nāp jūng]\none hour
一肚氣	[yāt tóuh hei]\nto be angry
一腳牛屎	[yāt geuk ngàuh sí]\n(legs covered in bull shit)\na country cousin, a "country bumpkin".
一腳踏兩船	[yāt geuk daahp léuhng syùhn]\n(one foot stepping on two boats)\nto be torn between two lovers, to have two lovers, to be involved with two lovers at the same time
一腳踏幾船	[yāt geuk daahp géi syùhn]\n(one foot stepping on several boats)\nto have more than one lovers, to be involved with several lovers at the same time.
一腳踢	[yāt geuk tek]\n(one leg kick)\n1. someone who gets things done on their own\n2. a one-person operation, a "jack-of-all trades"
一舊	[yāt gauh]\none hundred (dollars)
一舊木	[yāt gauh muhk]\n(one lump wood)\na slow-witted person
一舊飯	[yāt gauh faahn]\n(a lump of cooked rice)\na stupid person, an idiot, a "stupid lump".
一草嘢	[yāt chóu yéh]\nten dollars
一萬銀	[yāt maahn ngàhn]\none thousand dollars
一蚊雞	[yāt mān gāi]\n(one dollar chicken)\none dollar
一蟹不如蟹	[yāt háaih bāt yùh yāt háaih]\n(one crab is worse than the other)\na declining quality from one generation, class, appointee, etc., to the next
一言驚醒夢人	[yāt yìhng gīng síng muhng jūng yàhn]\n(one word wakening someone in dream)\nused to describe a person suddenly becoming clear-mided upon listening to a word of wisdom.
一試便知龍與鳯	[yāt si bihn jī lùhng yúh fuhng]\n(as soon as you try, you will ses whether it is a dragon or a phoenix)\nthe truth will be revealed upon a test, "the proof of the pudding is in the eating".
一講曹操，曹操就到	[yāt góng chòuh chōu, chòuh chōu jauh dou]\n(if you mention Tsao Tsao he will appear)\nif you mention something or someone by name it/they may appear, "talk of the devil", "speak of the devil and he comes running".
一身蟻	[yāt sān ngáih]\n(whole body ants)\nto get into trouble, to be in serious trouble
一輪嘴	[yāt léun jéui]\n(one rotating mouth)\nto talk continuously
一鑊泡	[yāt wohk póuh]\n(one wok foam)\na chaotic situation; an unmanageable situation
一鑊炒起	[yāt wohk cháau héi]\nto destroy, to smash
一鑊熟	[yāt wohk suhk]\n(one wok cooked)\nnothing left, utterly destroyed
一鑊粥	[yāt wohk jūk]\n(one wok of congee)\na chaotic situation; an unmanageable situation
一隻二隻	[yāt jek yih jek]\nnaughty rascals, naughty young children
一隻履	[yāt jek kehk]\n(like a clog)\nto work very hard, to work "like a dog"
一雞死一雞鳴	[yāt gāi séi yāt gāi mìhng]\n(one chicken died, one chicken crow)\nwhen one person leaves a business or an occupation, another will take it up.
一面屁	[yāt mihn pei]\n(one face fart)\nto feel humiliated; to be humiliated by someone
一頭煙	[yāt tàuh yīn]\nextremely busy
一頭霧水	[yāt tàuh mouh séui]\nconfused, not having any idea
一頸血	[yāt géng hyut]\n(one neck blood)\nto lose a great deal of money
丁	[dīng]\nthe fourth celestial stem
丁屎	[dīng sí]\n1. trivial matters\n2. a small amount\n3. a person of no importance, a "little shit".
七	[chāt]\n1. seven\n2. euphemistic form of 柒 chaht "prick".
七七八八	[chāt chāt baat baat]\n(seven seven eight eigth)\nalmost, more or less, nearly complete, nearly ready
七仔	[chāt jái]\n(seven boy)\n7-11 convenience store
七吓七吓	[chāt háh chāt háh]\nstupid
七咕碌	[chāt gū lūk]\nan obscene insult, a fool, "dickhead"
七嘴八舌	[chāt jéui baat sit]\n(seven mouths eight tongues)\neveryone talking at once.
七國咁亂	[chāt gwok gam lyuhn]\n(as chaotic as the Warring States period)\nchaotic, out of control
七彩	[chāt chói]\n(seven colours)\nextremely; chaotic, messy, in a mess, out of control
七碌	[chāt lūk]\n(seven pieces)\na fool, an idiot
七老八十	[chāt lóuh baat saph]\n(seven old eighty)\nvery old
三	[sāam]\nthree
三P	[sāam pī]\nto have a threesome
三不管	[sāam bāt gún]\nan uncontrolled area, a place which does not fall under any jurisdiction
三九唔識七	[sāam gáu m4 sīk chāt]\nto be strangers, to have no connection or relationship
三個女人一個墟	[sāam go néuih yán yāt go hēui]\n(three woman make a market)\nwhen women get together they talk a lot, or make a lot of noise chattering.
三兩吓手勢	[sāam léuhng háh sáu sai]\n(with two or three hand movements)\nquickly and skillfully (when solving a problem).
三六	[sāam luhk]\n(three six)\ndog meat (as food) (three plus six equals nine, and the Cantonese for nine, 九 [gáu] is homophonous with 狗 [gáu], "dog")
三分鐘熱度	[sāam fān jūng yiht douh]\n(hot for three minutes)\na fickle person, someone who gets enthusiastic and then quickly loses interest
三分顏色上大紅	[sāam fān ngàahn sīk séuhng daaih hùhng]\n(three drops of colour expecting big red)\nto be greedy, to have won an inch and expect a mile.
三劃	[sāam waahk]\n(three stripes)\na police sergeant
三及第	[sāam kahp dái]\na kind of congee with pork meat, pig's liver, and pig's intestine.
三口六面	[sāam háu luhk mihn]\n(three mouths, six faces)\nto talk face-to-face, to talk directly to someone (without intermediary).
三句不離本行	[sāam geui bāt lèih bún hòhng]\n(never make three utterances without touching on one's profession)\nto talk shop
三合會	[sāam hahp wúi]\na triad society, triads
三味	[sāam méi]\n(three flavours)\nthree sexual services offered by a prostitute, fellatio, anilingus and sexual intercourse.
三唔識七	[sāam m4 sīk chāt]\n1. to be strangers, to have no connection or relationship\n2. used to dismiss a remark as irrelevant or "bullshit"
三姑六婆	[sāam gū luhk pòh]\n(three aunts and six ladies)\na group of gossipy women (particularly of elder women).
三尖八角	[sāam jīm baat gok]\n(three points and eight corners)\nof irregular shape (usually derogatory).
三幅被	[sāam fūk péih]\nold-fashioned ideas, out-moded notions or things
三年唔發市，發市當三年	[sāam nìhn m4 faat síh, faat síh dong sāam nìhn]\n(three years and no transaction, but one transaction is good for three years)\nbusiness with a very high profit margin and few transactions
三幾両	[sāam géi léuhng]\nseveral, some, a few
三度板斧	[sāam douh báan fú]\n(three strokes of the axe)\nto have only a limited number of skills to deal with a problem, to have only "a few trick up one's sleeve".
三扒兩撥	[sāam pàh léuhng buht]\nvery quickly, in no time at all
三更窮五更富	[sāam gāang kùhng ńgh gāang fu]\n(poor at midnight rich at dawn)\nuncertain, insecure (life, fate)
三柴	[sāam chàaih]\n(three firewood)\na sergeant, a police sergeant
三歲定八十	[sāam seui dihng baat sahp]\n(three years old determines eighty years old)\none's character is formed at a young age, "the child is father to the man".
三缺一	[sāam kyut yāt]\n(three missing one)\none player short for a game of mahjong (which requires four players).
三腳凳	[sāam geuk dang]\n1. three-legged stool\n2. an unreliable person
三腳雞	[sāam geuk gāi]\n(three legged chicken)\na car with three wheels
三行	[sāam hóng]\n(three occupations)\nthe construction business (refering to work with concrete, wood and paint).
三衰六旺	[sāam sēui luhk wohng]\ngood and bad luck, mixed fortunes, the ups and downs of life
三角嘜	[sāam gok māk]\n(three cornered label)\na film classified in Hong Kong as "category III", i.e. a film forbidden to people under the age of eighteen.
三通	[sāam tūng]\nthree sexual services available from a prostitute, fellatio, anilingus and sexual intercourse
三長兩短	[sāam chèuhng léuhng dyún]\n(three long, two short)\nan unexpected disaster, especially sudden death or serious bodiliy injury.
三陪	[sāam pùih]\nthree services offered by a hostess in a nightclub, i.e. sitting, eating and drinking (and potentially having sex with the customer).
三隻手	[sāam jek sáu]\n(three-handed)\na pickpocket.
三點三	[sāam dím sāam]\n(three fifteen)\nafternoon tea, to take afternoon tea
三點畢露	[sāam dím bāt louh]\nfull frontal nudity
三點盡露	[sāam dím jeuhn louh]\nfull frontal nudity
上	[séuhng]\nto go up\n[seuhng]\nabove
上位	[séuhng wái]\nto be promoted, to rise up in an organisation
上屋搬下屋，唔見一籮穀	[séuhng ngūk būn haah ngūk, m4 gin yāt lòh gūk]\n(when moving from the upper floor to the lower floor one will lose a basket of grains)\neven moving house a short distance will cost you something
上岸	[séuhng ngohn]\n(to climb onto the bank)\nto make enough money to retire, especially from prostitution, from the criminal underword, or the life of a triad member.
上庄	[séuhng jōng]\n(to ascend to the firm)\nto join a committee (university student jargon)
上床	[séuhng chòhng]\n(to go to bed)\nto have sex, to go to bed with someone
上得山多終遇虎	[séuhng dāk sāan dō jūng yuh fú]\n(if you go up the mountain often, you will eventually run into a tiger)\nused as advice to someone who keeps taking risks but has so far been fortunate, telling them they will get into trouble sooner or later.
上枱	[séuhng tói]\n1. to lure someone into a trap, to make someone a scapegoat, to "set someone up"\n2. to have a meeting, to negotiate
上檯	[séuhng tói]\n1. to lure someone into a trap, to make someone a scapegoat, to "set someone up"\n2. to have a meeting, to negotiate
