鸦 鴉 [āa] "a crow"    
阿二 阿二 "[aa yí]" "(number two)a second wife or mistress"    
呃 呃 [ngāak] "to cheat, to trick"    
呃饭食 呃飯食 "[ngāak faahn sihk]" "(cheating rice to eat)to be idle at work"    
呃鬼食豆腐 呃鬼食豆腐 "[ngāak gwái sihk dauh fuh]" "(cheating the ghost to eat bean curd)1. to lure someone into a trap, to trick someone2. used to express scepticism or disbelief, ""you're kidding me!"""    
呃人 呃人 "[ngāak yàhn]" "(cheaing people)used to indicate distrust, the feeling that one is being deceived, or that one's partner is being unfaithful"    
啱 啱 [āam/ngāam] suitable    
啱啱 啱啱 "[ngāam ngāam]" "just now"    
啱咀形 啱咀形 "[āam jéui yìhng]" "good to talk to, pleasant to chat with"    
啱嘴形 啱嘴形 "[āam jéui yìhng]" "good to talk to, pleasant to chat with"    
啱key 啱key "[āam kī]" "to get along well with someone"    
啱心水 啱心水 "[āam sām séui]" "exactly what is required"    
鸭 鴨 [áap/aap] "1. a duck2. a gigolo"    
鸭店 鴨店 "[áap/app dim]" "(duck shop)a nightclub or brothel where the clients are women and the sexual and other services are provided by men"    
R R [āau] "to scrach"    
R讲 R講 "[āau góng]" "to interrupt a conversation"    
R晒头 R晒頭 "[āau saai táuh]" "(to scratch one's head)to be completely lost in looking for a solution"    
拗 拗 "[multiple readings]" "[áau/ngáau]to bend  [aau/ngaau]to quarrel with, to argue"    
拗柴 拗柴 "[áau chàaih]" "to twist one's ankel"    
拗手瓜 拗手瓜 "[ngáau/áau sáu gwāa]" "1. arm-wrestling2. to compete with, to challenge"    
拗颈 拗頸 "[ngaau/aau géng]" "to argue, to quarrel with"    
拗撬 拗撬 "[ngaau/aau giuh]" "1. an arguement2. to quarrel, to argue, to fight"    
哎吔 哎吔 "[āi yā]" "a sort of (used before a kinship term, as in ""some kind of uncle"")"    
暗 暗 [am] dim    
暗病 暗病 "[am behng]" "(hidden disease)sexual disease"    
暗花 暗花 "[am fāa]" "(hidden flowers)1. a special fund for illegal purposes, a ""slush fund""2. a reward for carrying out a mission, the price on someone's head"    
暗格 暗格 "[am gaak]" "(hidden divide)a secret place, a hiding place, a place to conceal objects"    
䟴脚 䟴腳 "[an geuk]" "to jiggle one's feet"    
Un脚 Un腳 "[a variant of 䟴腳an geuk]" "to jiggle one's feet"    
䟴䟴脚 䟴䟴腳 "[an an geuk]" "(to wiggle one's feet)to rise up in the world" "to have no worries"   
"Un Un 脚" "Un Un 腳" "[a variant of 䟴䟴腳an an geuk]" "(to wiggle one's feet)to rise up in the world" " to have no worries"   
䟴䟴吓 䟴䟴吓 "[an an háa/háah]" "(to wiggle one's body)a person who is physically unsteady"    
"Un Un 吓" "Un Un 吓" "[a variant of 䟴䟴吓an an háa/háah]" "(to wiggle one's body)a person who is physically unsteady"    
䟴身䟴势 䟴身䟴勢 "[un sān an sai]" "(to wiggle one's body)1. a person who is physically unsteady2. an ungainly or awkward person3. someone whose manner suggests they are low class"    
Un身Un势 Un身Un勢 "[a variant of 䟴身䟴勢un sān an sai]" "(to wiggle one's body)1. a person who is physically unsteady2. an ungainly or awkward person3. someone whose manner suggests they are low class"    
Update Update "[āp dēi]" "(<up to date)in fashion, trendy, in touch with current trends"    
噏 噏 [āp/ngāp] "to chat" " to talk"   
噏得就噏 噏得就噏 "[āp dāk jauh āp]" "used to reject what someone is saying, ""you are bullshiting!"", ""watch what you say!"", ""don't lie?""."    
噏耷 噏耷 "[āp dāp]" shabby    
噏乜春 噏乜春 "[āp māt chēun]" "an expression of irritation of what someone is saying"    
噏乜捻嘢 噏乜撚嘢 "[āp māt lán yéh]" "an expression of violent contempt or anger for what someone is saying, ""what the fuck are you talking about?"""    
噏三噏四 噏三噏四 "[āp sāam āp sei]" "(to chat three and four)to gossip" " to chatter away"   
Out Out [āu] "(<out)behind the times, out of date, old-fashioned, out of touch"    
"Out day" "Out day" "[āu dēi]" "(<out of date)behind the times, old-fashioned, out of touch"    
巴巴闭 巴巴閉 "[bāa bāa bai]" "arrogant, flashy, showy, impressive (in positive or negative comments)"    
巴巴闭闭 巴巴閉閉 "[bāa bāa bai bai]" "arrogant, flashy, showy, impressive, fantastic"    
巴闭 巴閉 "[bāa bai]" "arrogant, flashy, showy, impressive (in positive or negative comments)"    
巴很闭 巴很閉 "[bāa hán bai]" "effing arrogant"    
巴X闭 巴X閉 "[bāa īks/iksīh bai]" "effing arrogant"    
巴揸 巴揸 "[bāa jāa]" "talkative, gossipy, ""bitchy"""    
巴K闭 巴K閉 "[bāa kēi bai]" "effing arrogant"    
巴Q闭 巴Q閉 "[bāa kīu bai]" "effing arrogant"    
巴辣 巴辣 "[bāa laaht]" "fierce, tough, hard to handle (generally used to describe a woman)"    
巴辣臭寸 巴辣臭寸 "[bāa laaht chau chyun]" "extremely ""cocky"""    
巴捻闭 巴撚閉 "[bāa lán bai]" "fucking arrogant"    
巴屎闭闭 巴屎閉閉 "[bāa sí bai bai]" "arrogant, flashy, showy, impressive (in positive or negative comments)"    
吧 吧 [bāa] "(<bar)a bar (for drinking)"    
吧喳 吧喳 "[bāa jāa]" talkative " nagging" " demanding (generally used with reference to women)"  
吧女 吧女 "[bāa néoi]" "a bar-girl, i.e. a woman serving drinks or working as a hostess in a night-club or bar"    
把 把 [báa] "to hold"    
把春 把春 "[báa chēun]" "to do something that is pointless or without meaning"    
把火 把火 "[báa fó]" "extremely angry, filled with rage"    
把风 把風 "[báa fūng]" "to keep watch, to keep a look-out, e.g. for a police raid"    
把几火 把幾火 "[báa géi fó]" "extremely angry, filled with rage"    
把关 把關 "[báa gwāān]" "to keep watch, to keep a look-out; a look out"    
把鬼 把鬼 "[báa gwái]" "to do something that is pointless or without meaning"    
把鬼火 把鬼火 "[báa gwái fó]" "extremely angry"    
把口琅过油 把口瑯過油 "[báa háu lóng gwo yàuh]" "(mouth greased with oil)flattering, ""greasy"", smooth-tongued"    
把捻 把撚 "[báa lán]" "an obscene expression for completely useless, completely pointless, ""fucking pointless"""    
把乜春 把乜春 "[báa māt chēun]" "an expression of irritation at something pointless, ""what's the point?"""    
把炮 把炮 "[báa paau]" "1. pride, arrogance2. ability, strength"    
把屁 把屁 "[báa pei]" "to do something that is pointless or without meaning"    
把托 把托 "[báa tok]" "1. completely useless, completely pointless2. to guard the entrance"    
霸 霸 [baa] "to occupy, to obstruct"    
霸位 霸位 "[baa wái]" "1. to grab a seat2. to grab a table and save it while someone else collects the food (e.g. in a fast food restaurant)"    
霸王 霸王 "[baa wòhng]" "1. to use a service but avoid paying for it2. to be a bully"    
霸王鸡 霸王雞 "[baa wòhng gāi]" "to use the service of a prostitute without paying"    
霸王餐 霸王餐 "[baa wòhng chāan]" "a free meal obtained by leaving a restaurant without paying"    
霸王花 霸王花 "[baa wòhng fāa]" "(flowery empress)a though woman, e.g. a fearsome policewoman"    
霸王客 霸王客 "[baa wòhng haak]" "someone who uses a service but tries to avoid payment for it (e.g. restaurant, nightclub, etc.)"    
霸王硬上弓 霸王硬上弓 "[baa wòhng ngaahng séuhng gūng]" "to force woman into sex"    
叭叭声 叭叭聲 "[bàah bàa sēng]" "1. seriously2. quickly, in a flash"    
罢就 罷就 "[baah jauh]" "to decide not to do anything" " to let a matter drop"   
白鼻哥 白鼻哥 "[baak beih gō]" "(white nose guy)1. a failed womaniser2. someone who fails an examination"    
白痴仔 白痴仔 "[baahk chī jái]" "(plain crazy boy)1. a crazy person2. a stupid person"    
白切鸡 白切雞 "[baahk chit gāi]" "1. steamed chicken2. a hairless person, a person without much body-hair, particulary a woman with no pubic hair"    
白粉 白粉 "[baahk fān]" "(white powder)heroin"    
白虎 白虎 "[baahk fú]" "(white tiger)a woman with no pubic hair (either having shaved it off or being without it)"    
白鸽眼 白鴿眼 "[baahk gaap ngáahn]" (pigeon-eyed)snobbish    
白瓜子 白瓜子 "[baahk gwāa jí]" "1. white melon seed2. a tranquiliser (triazolam)"    
白过 白過 "[baahk gwo]" "to waste time doing something, to do something in vain"    
白鹤 白鶴 "[baahk hók]" "1. stork2. someone who stands behind a mahjong or card-player looking over their shoulder."    
白蚱 白蚱 "[baahk jaa]" "1. a jellyfish2. a traffic police officer"    
白鮓 白鮓 "[baahk jaa]" "1. a jellyfish2. a traffic police officer"    
白纸扇 白紙扇 "[baahk jí sin]" "White Paper Fan, a senior triad official with the rank of ""advisor"". The code number associated with this rank is 415."    
白撞 白撞 "[baahk johng]" "to visit a shop or a person without any particular purpose, to be ""just looking"" in a shop"    
白做 白做 "[baahk jouh]" "to do pointless work" " unrewarding work."   
白领 白領 "[baahk léhng]" "(white collar)white-collar worker, office worker"    
白捞 白撈 "[baahk lōu]" "a futile effort; work done in vain, for little reward."    
白马 白馬 "[baahk máah]" "1. white horse2. someone who knows nothing, an ignoramus"    
白马王子 白馬王子 "[baahk máah wòhng jí]" "(prince on a white horse)1. someone who saves a particular situation2. someone who comes to the rescue3. a man who appears unexpectedly and wins the love of a woman, a ""Prince Charming"", a ""white knight""4. police motorcyclist"    
白面粉 白麵粉 "[baahk mihn fán]" "1. white flour2. heroin"    
白蒙蒙 白濛濛 "[baahk mūng mūng]" "pure white, very white"    
白SaiSai 白SaiSai "[baahk sàaih sàaih]" "very white, pure white"    
白手 白手 "[baahk sáu]" "(white hands)1. to start from nothing2. to have a clean record, to not have a police record3. to be in prison for the first time, a first-timer"    
白食 白食 "[baahk sihk]" "to get a free meal."    
白小姐 白小姐 "[baahk síu jé]" "(Miss White)heroin"    
白雪雪滑捋捋 白雪雪滑捋捋 "[baahk syūt syūt waaht lyūt lyūt]" "(white as snow and smooth)1. very white and smooth2. very clean"    
白头佬 白頭佬 "[baahk tàuh lóu]" "1. white haired guy2. traffic police officer"    
白天鹅 白天鵝 "[baahk tīn ngòh]" "1. white swan2. to nag all day"    
白云 白雲 "[baahk wàhn]" "white cloud"    
扮 扮 [baahn] "to pretend"    
扮蠢 扮蠢 "[baahn chéun]" "(to pretend stupid)to pretend ignorance" " to pretend to be stupid."   
扮串 扮串 "[baahn chyun]" "to be arrogant" " to be vain"   
扮大袋 扮大袋 "[baahn daaih dói]" "to pretend to be powerful, to act like a big shot"    
扮鬼扮马 扮鬼扮馬 "[baahn gwái baahn máah]" "(to masquerade as a ghost and as a horse)to play a role to deceive somebody, to play a part to trick someone"    
扮豪 扮豪 "[baahn hòuh]" "to pretend to be rich"    
扮猪食老虎 扮豬食老虎 "[baahn jyū sihk lóuh fú]" "(to pretend to be a pig and eat a tiger)to appear harmless, but in fact to be dangerous or ruthless, to pretend to be a fool but to be actually very clever"    
扮靓 扮靚 "[baahn leng]" "to make oneself pretty (to get oneself ""dolled up"")"    
扮老醒 扮老醒 "[baahn lóuh síng]" "to act as if one is very clever (when one is not), to be a ""know-it-all"""    
扮晒蟹 扮晒蟹 "[baahn saai háaih]" "(to act the big crab)to act as if one is powerful"    
扮晒鱼虾蟹 扮晒魚蝦蟹 "[baahn saai yùh hāa háaih]" "to act as if one is powerful"    
扮晒嘢 扮晒嘢 "[baahn saai yéh]" "1. to be arrogant, boastful2. to lay claim to great power or influence."    
扮死狗 扮死狗 "[baahn séi gáu]" "(to pretend to be a dead dog)to pretend not to know, to behave as if one doesn't know something."    
扮死蟹 扮死蟹 "[baahn séi háaih]" "(to pretend to be a dead crab)to offer passive resistance" " to play dead"   
扮嘢 扮嘢 "[baahn yéh]" "to pretend" " to boast" " to act as if one is powerful."  
摆 擺 [báai] "to arrange"    
摆薄落 擺薄落 "[báai bohk lōk]" "(to set up< block)to set up a road-block, to set up a speed trap (police)"    
摆彩 擺彩 "[báai chói]" "to compete for prestige, reputation"    
摆堆 擺堆 "[báai dēui]" "(to arrange a heap)to defecate"    
摆款 擺款 "[báai fún]" "to show off one's status or wealth, to be arrogant, to be conscious of one's status or wealth."    
摆阵 擺陣 "[báai jahn]" "to join the queue to wait for customers (taxi driver jargon)"    
摆柳 擺柳 "[báai láuh]" "(to deploy a willow)to urinate (used of a man)"    
摆老门 擺老門 "[báai lóuh mùhn]" "(to set an old door)to set a trap"    
摆老乌 擺老烏 "[báai lòuh wū]" "to make a bad mistake" " to score an own goal (soccer jargon)."   
摆明 擺明 "[báai mìhng]" "to be obvious."    
摆明车马 擺明車馬 "[báai mìhng gēui máah]" "(to put the chariot and horse pieces openly on the chessboard)to act in an overt manner, ""to put all one's cards on the table"", to show one's full strength or capability."    
摆门 擺門 "[báai mùhn]" "to set a trap" " to trick someone"   
摆平 擺平 "[báai pìhng]" "to settle an argument" " to calm a situation" " to mediate in a conflict"  
摆上檯 擺上檯 "[báai séuhng tói]" "to lure someone into a trap, to make someone a scapegoat, to ""set someone up"""    
摆鸟龙 擺鳥龍 "[báai wū lúng]" "to make a mistake" " to score an own goal (scooer jargon)."   
拜 拜 [baai] "to worship"    
拜山 拜山 "[baai sāan]" "to worship one's ancestors"    
败家 敗家 "[baaih gāa]" "(to ruin family)to bring one's family to financial ruin. "    
百搭 百搭 "[baak daap]" "1. versatile, flexible2. an all-rounder, someone who can turn their hand to anything"    
百佳 百佳 "[baak gāai]" "1. ParknShop supermarket2. an exclamation, ""shit"", a way of suggesting the initials PK [pī kēi]  (a euphemistic variant of 仆街 [pūk gāai])"    
百足咁多爪 百足咁多爪 "[baak jūk gam dō jáau]" "(to have as many legs as a centipede) involved in many businesses or enterprises, having ""lots of irons in the fire"". "    
百有 百有 "[baak yáuh]" "the mother of one's friend (term of address, used instead of 伯母 [baak móu], since móu sounds like 冇 ""have not"")."    
伯有 伯有 "[baak yáuh]" "the mother of one's friend (term of address, used instead of 伯母 [baak móu], since móu sounds like 冇 ""have not"")."    
百厌 百厭 "[baak yim]" "naughty, badly behaved"    
百厌星 百厭星 "[baak yim sīng]" "naughty, badly behaved"    
班 班 [bāan] "a class"    
班马 班馬 "[bāan máah]" "(to gather horese)1. to get help from subordinates in a gang2. to deploy members of one's gang3. to call for back up, for reinforcements"    
班仆街冚家铲 班仆街冚家剷 "[bāan pūk gāai hahm gāa cháan]" "an insult for a group of people, ""that pack of bastards!"""    
班水 班水 "[bāan séui]" "(to gather water)to borrow money, to get hold of money."    
班哗鬼 班嘩鬼 "[bāan wāa gwāi]" "a bunch of kids, a group of young kids"    
一班哗鬼 一班嘩鬼 "[yāt bāan wāa gwāi]" "a bunch of kids, a group of young kids."    
班友 班友 "[bāan yáu]" "1. to gather friends2. to get help from other gang members."    
板 板 [báan] "a plank"    
板斧 板斧 "[báan fú]" "(wodden axe)required skills, solutions for a problem"    
八 八 [baat] "1. eight2. to chat, to tell3. to gossip4. nosy."    
八公 八公 "[baat gūng]" "a gossip (used of a man)."    
八卦 八卦 "[baat gwaa]" "(taoist mirror)1. a gossip2. gossipy, nosy."    
八卦公 八卦公 "[baat gwaa gūng]" "a gossip (used of a man)"    
八卦周刊 八卦週刊 "[baat gwaa jāu hón]" "a weekly tabloid-type magazine"    
八卦妹 八卦妹 "[baat gwaa mūi]" "a nosy girl, a gossipy girl."    
八卦婆 八卦婆 "[baat gwaa pó]" " a gossip (said of a woman)."    
八字波 八字波 "[baat jih bō]" "a woman's breasts pointing to the sides."    
八字生得正 八字生得正 "[baat jih sāang dāk jeng]" "(born at an auspicious time)born under a lucky star, to be born lucky"    
八妹 八妹 "[baat mūi]" "a nosy girl, a gossip."    
八婆 八婆 "[baat pòh]" "(eight women)a generic insult for a woman, a gossipy woman, a ""bitch""."    
八通街 八通街 "[baak tūng gāai]" "(gossip through the whole street)rumours or gossip spreading. "    
八月十五 八月十五 "[baak juhy sahp ńgh]" "(eighth month fifth)the buttocks, the behind (the fifteenth of the eighth month in the lunar calendar is the Mid-Autumn festival, also known as the Moon Festival, and the moon is a visual pun for buttocks)."    
包 包 [bāau] "1. to wrap up2. to promise3. to keep a mistress or second wife. "    
包保 包保 "[bāau bóu]" "to promise, to guarantee."    
包顶颈 包頂頸 "[bāau díng géng]" "argumentative, quarrelsome. "    
包喺我身上 包喺我身上 "[bāau hái ngóh sān seuhng]" "a statement made in support of a promise or arrangement, ""I personally guaranntee it!"""    
包喺身上 包喺身上 "[bāau hái sān seuhng]" "to guarantee, to swear, to affirm strongly."    
包起 包起 "[bāau héi]" "(to wrap up)1. to financially support a mistress2. to take full charge of something3. to take on all the expenses for something (e.g. in taking over a restaurant for a private party)."    
包尾 包尾 "[bāau mèih/mēi]" "to come last, to be at the bottom of the list (e.g. in a race, exam)."    
包皮 包皮 "[bāau pèih]" "the foreskin"    
包皮环境 包皮環境 "[bāau pèih wàahn gíng]" "(foreskin prospects)to be in a difficult position" " to have bad prospects"   
包艇 包艇 "[bāau téhng]" "to be at the end of the queue, to be the last in line (truck driver jargon)."    
包二奶 包二奶 "[bāau yih nāai]" "to keep a second wife or mistress (e.g. used of Hong Kong men who have a second wife in mainland China)."    
鲍 鮑 [bāau] abalone    
鲍鱼 鮑魚 "[bāau yùh]" "1. abalone2. female genitalia"    
饱 飽 [báau] "1. to full up2. sexually satisfied."    
饱暖思淫欲 飽暖思淫慾 "[báau nyúhn sī yàhm yuhk]" "when one is well-fed one's thoughts turn to sex. "    
饱死 飽死 "[báau séi]" "used to express irritation at what someone is saying, particulary used in response to boasting or self-praise, ""that's enough!""."    
饱死荷兰豆 飽死荷蘭豆 "[báau séi hòh lāan dáu]" "used to express irritation at what someone is saying, particularly used in response to pompous behaviour or boasting"    
爆 爆 [baau] "1. to explode2. to come sexually, to ejaculate."    
爆煲 爆煲 "[baau bōu]" "1. to let out a secret, to reveal a secret2. to go over the limit, i.e. to ""bust"" (e.g. in blackjack)."    
爆厂 爆廠 "[baau chóng]" "(to explode the factory)1. to be bankrupt2. to go broke3. to go over the limit (to ""bust"")."    
爆粗 爆粗 "[baau chōu]" "to explode with anger; to swear in anger; using bad language, swearing."    
爆大冷 爆大冷 "[baau daaih láahng]" "a completely unexpected result in a race or match, a big ""upset"". "    
爆大镬 爆大鑊 "[baau daaih wohk]" "(large wok explosion)to let out a secret, to reveal a secret. "    
爆灯 爆燈 "[baau dāng]" "(to burst a lamp)very great, very high (e.g. number). "    
爆房 爆房 "[baau fóng]" "(to burst open a room)to go to a short-time hotel for sex. "    
爆格 爆格 "[baau gaak]" "(to explode a divide)to commit a burglary "    
爆缸 爆缸 "[baau gōng]" "(to explode a tank)1. to bleed2. a bleeding head3. a full bladder."    
爆口响 爆口響 "[baau héung háu]" "(to burst out with a loud mouth)1. to blow a whistle2. to blurt out something, to let a secret slip out3. to disclose a secret (to the police)."    
爆樽 爆樽 "[baau jēun]" "(to explode a bottle)1. to break a bottle in readiness for a fight2. to break a bottle over someone's head3. to square up for a fight."    
爆浆 爆漿 "[baau jēung]" "(to explode flour paste)to ejaculate"    
爆钟 爆鐘 "[baau jūng]" "a call girl or prostitute working overtime."    
爆冷 爆冷 "[bauu láahng]" "an unexpected result in a race or match, an ""upset"""    
爆冷门 爆冷門 "[bauu láahng mún]" "an unexpected result in a race or match, an ""upset"""    
爆冷格 爆冷格 "[baau láahng gaak]" "(to burst open a cold place)to commit a burglary, to burgle an empty building or apartment (criminal jargon)"    
爆料 爆料 "[baau líu]" "(to explode stuff)to disclose information" " to let out a secret."   
爆马缆 爆馬纜 "[baau máah láam]" "to get a hotel room (instead of going home), to stay in a hotel. "    
爆马榄 爆馬欖 "[a variant of 爆馬纜baau máah láam]" "to get a hotel room (instead of going home), to stay in a hotel"    
爆马栏 爆馬欄 "[a variant of 爆馬纜baau máah láam]" "to get a hotel room (instead of going home), to stay in a hotel"    
爆棚 爆棚 "[baau pàahng]" "(to explode scaffolding)1. to be full to capacity2. a full house, ""standing room only""3. to have a full set of something (card games, mahjong)"    
爆石 爆石 "[baau sehk]" "(to explode rock)to defecate"    
爆呔 爆呔 "[baau tāai]" "1. a burst tyre2. trousers with a hole in the backside."    
爆肚 爆肚 "[baau tóuh]" "(to explode belly)to give an off-the-cuff, impromptu speech, to make a few unprepared remarks."    
爆大嘢 爆大嘢 "[baau wohk daaih yéh]" "to expose a big scandal."    
爆镬大嘢 爆鑊大嘢 "[baau wohk giht yéh]" "to expose a big scandal"    
爆镬杰嘢 爆鑊杰嘢 "[baau wohk giht yéh]" "to expose a big scandal"    
爆阴毒 爆陰毒 "[baau yām duhk]" "1. to behave in a very underhand or destructive way towards someone2. to go behind someone's back to harm them3. to reveal someone's plan."    
爆热格 爆熱格 "[baau yiht gaak]" "(to burst open a hot place)to commit a burglary, to burgle a building or apartment which is found to be occupied (criminal jargon)."    
笨 笨 [bahn] "1. stupid, dim-witted2. clumsy"    
笨贼 笨賊 "[bahn chaahk]" "a fool, a disreputatble person (puns with the vulgar 笨柒 [bahn chahk] ""stupid prick"")."    
笨柒 笨柒 "[bahn chaht]" "(stupid prick)a vulgar term for a stupid person, a ""stupid prick""."    
"笨柒柒 " "笨柒柒 " "[bahn chaht chaht]" "a vulgar term for a very stupid person, ""stupid prick""."    
笨蛋 笨蛋 "[bahn dáan]" "(stupid egg)1. stupid2. a fool."    
笨閪 笨閪 "[bahn hāi]" "(stupid cunt)a vulgar term for a very stupid person, ""stupid cunt"""    
笨蔗 笨蔗 "[bahn je]" "(stupid sugar cane)a fool, an idiot."    
笨蕉 笨蕉 "[bahn jīu]" "(stupid banana)a complete idiot."    
笨猪跳 笨豬跳 "[bahn jyū tiu]" "(stupid pig jumping)bungee jumping"    
笨捻 笨撚 "[bahn lán]" "(stupid prick)a vulgar term for a very stupid person, ""stupid prick""."    
笨捻柒 笨撚柒 "[bahn lán chaht]" "(stupid prick)a vulgar term for a very stupid person, ""stupid prick""."    
笨奶 笨奶 "[bahn nāai/bahn nàaih]" "(stupid milk)a fool"    
笨实 笨實 "[bahn saht]" "a vulgar term for stupid, a euphemistic form of 笨柒 [bahn chāt"    
笨手笨脚 笨手笨腳 "[bahn sáu bahn geuk]" "(stupid hand stupid leg)clumsy, awkward, ""all fingers and thumbs""."    
笨头笨脑 笨頭笨腦 "[bahn táu bahn nóuh]" "(stupid head stupid brain)stupid-lookig, stupid."    
跛 跛 [bāi] lame    
跛脚鸭 跛腳鴨 "[bāi geuk aahp]" "(lame duck)a government or adminstration that has lost the ability to make important decisions, a ""lame duck"" administration."    
闭 閉 [bai] "to close"    
闭翳 閉翳 "[bai ngai]" "depressed, moody."    
弊 弊 [baih] bad    
弊家伙 弊家伙 "[baih gāa fó]" "an exclamation, equivalent to ""damn!"" or ""blast""."    
北 北 [bāk] north    
北姑 北姑 "[bāk gū]" "(northern woman)a woman from the northern part of China (or from anywhere in mainland China), particular one working in a nightclub in Hong Kong."    
北姑鸡 北姑雞 "[bāk gū gāi]" "(northern woman chicken)1. a prostitute from the northern part of China working in South China or Hong Kong2. a woman from mainland China working as a prostitute in Hong Kong."    
北漏洞拉 北漏洞拉 "[bāk lauh duhng lāai]" "a Vietnamese (the first words of a Hong Kong Government message broadcast in Vietnamese warning Vietnamese ""boat-people"" not to come to Hong Kong)."    
北佬 北佬 "[bāk lóu]" "a northerner, a man from North China, a man from mainland China (colloquial or derogative term)."    
北妹 北妹 "[bāk mūi]" "(northern girl)a young woman from mainland China in Hong Kong (often used to refer to mainland women working in a nightclub or as a prostitute)."    
北上 北上 "[bāk séuhng]" "(going north)to go from Hong Kong to mainland China for entertainment. "    
北嫂 北嫂 "[bāk sóu]" "(northern sister-in-law)a middle-aged woman from mainland China in Hong Kong (often used to refer to mainland women working in a nightclub or as a prostitute)."    
宾垆咁嘅场面 賓壚咁嘅場面 "[bān hēui gám ge chèuhng mín]" "(Bur Hur like scene)an extravagant scene, e.g. a wild party or a huge banquet."    
宾周 賓周 "[bān jāu]" "the penis"    
宾州 賓州 "[bān jāu]" "the penis"    
宾周仔 賓周仔 "[bān jāu jái]" "the penis"    
宾州仔 賓州仔 "[bān jāu jái]" "the penis"    
