????,????,aa m?au aa gáu,"(any cat or dog)an indefinite phrase used to talk about a hypothetical individual, ""whoever"", ""anymore"", ""any old person"", ""no matter who""",,,,
???,???,aa m?t séui,"someone whose name the speaker cannot remember or cannot be bothered to recall (""so and so"", ""whatshisname"", ""whatshername"")",,,,
??,??,aa mauh,a stupid person,,,,
????,????,aa mauh jíng béng,Mr Stupid makes cakes??????? [móuh gó yeuhng jíng gó yeuhng] does something unnecessary?someone doing something pointless or meaningless, a stupid action ,,,
???,???,aa máuh máuh,an indefinite way of referrring to someone whose name is unknown,,,,
??,??,aa mòuh,an old woman,,,,
????,????,aa pò choi páau,"old lady races?????? [lóuh h?i d?u jáu aa] even an old cunt runs?everybody has gone, everyone has disappeared",,,,
??,??,aa sèh,"(Mr Snake)Sir, a term of address for a policeman or male teacher",,,,
??,??,aa sei,"an unimportant person, someone who does odd jobs; who can be ordered around, someone with low status",,,,
??,??,aa s?ng,"(Mr Singh)an Indian, a Parkistani, a South Asian",,,,
??,??,aa sóu,1. elder brother's wife2. a term of address for someone's girlfriend or wife,,,,
??,??,aa táu,"(Mr Head)a boss, a chief, a head",,,,
??,??,aa y?t,"(Mr One)1. the top boss, the top leader, the ""Mr Big""2. the head of prisons, the director of correctional services3. the chief of police",,,,
???,???,aa y?t g?,"(elder brother number one)1. a boss, a leader, a chief2. the chief of police",,,,
??,??,aa yí,(number two)a second wife or mistress,,,,
?,?,ng?ak,"to cheat, to trick",,,,
???,???,ng?ak faahn sihk,(cheating rice to eat)to be idle at work,,,,
?????,?????,ng?ak gwái sihk dauh fuh,"(cheating the ghost to eat bean curd)1. to lure someone into a trap, to trick someone2. used to express scepticism or disbelief, ""you're kidding me!""",,,,
??,??,ng?ak yàhn,"(cheaing people)used to indicate distrust, the feeling that one is being deceived, or that one's partner is being unfaithful",,,,
?,?,?am/ng?am,suitable,,,,
??,??,ng?am ng?am,just now,,,,
???,???,?am jéui yìhng,"good to talk to, pleasant to chat with",,,,
???,???,?am jéui yìhng,"good to talk to, pleasant to chat with",,,,
?key,?key,?am k?,to get along well with someone,,,,
???,???,?am s?m séui,exactly what is required,,,,
?,?,áap/aap,1. a duck2. a gigolo,,,,
??,??,áap/app dim,(duck shop)a nightclub or brothel where the clients are women and the sexual and other services are provided by men,,,,
R,R,?au,to scrach,,,,
R?,R?,?au góng,to interrupt a conversation,,,,
R??,R??,?au saai táuh,(to scratch one's head)to be completely lost in looking for a solution,,,,
?,?,multiple readings,"[áau/ngáau]to bend  [aau/ngaau]to quarrel with, to argue",,,,
??,??,áau chàaih,to twist one's ankel,,,,
???,???,ngáau/áau sáu gw?a,"1. arm-wrestling2. to compete with, to challenge",,,,
??,??,ngaau/aau géng,"to argue, to quarrel with",,,,
??,??,ngaau/aau giuh,"1. an arguement2. to quarrel, to argue, to fight",,,,
??,??,?i y?,"a sort of (used before a kinship term, as in ""some kind of uncle"")",,,,
?,?,am,dim,,,,
??,??,am behng,(hidden disease)sexual disease,,,,
??,??,am f?a,"(hidden flowers)1. a special fund for illegal purposes, a ""slush fund""2. a reward for carrying out a mission, the price on someone's head",,,,
??,??,am gaak,"(hidden divide)a secret place, a hiding place, a place to conceal objects",,,,
??,??,an geuk,to jiggle one's feet,,,,
Un?,Un?,a variant of ??an geuk,to jiggle one's feet,,,,
???,???,an an geuk,(to wiggle one's feet)to rise up in the world,to have no worries,,,
Un Un ?,Un Un ?,a variant of ???an an geuk,(to wiggle one's feet)to rise up in the world, to have no worries,,,
???,???,an an háa/háah,(to wiggle one's body)a person who is physically unsteady,,,,
Un Un ?,Un Un ?,a variant of ???an an háa/háah,(to wiggle one's body)a person who is physically unsteady,,,,
????,????,un s?n an sai,(to wiggle one's body)1. a person who is physically unsteady2. an ungainly or awkward person3. someone whose manner suggests they are low class,,,,
Un?Un?,Un?Un?,a variant of ????un s?n an sai,(to wiggle one's body)1. a person who is physically unsteady2. an ungainly or awkward person3. someone whose manner suggests they are low class,,,,
Update,Update,?p d?i,"(<up to date)in fashion, trendy, in touch with current trends",,,,
?,?,?p/ng?p,to chat, to talk,,,
????,????,?p d?k jauh ?p,"used to reject what someone is saying, ""you are bullshiting!"", ""watch what you say!"", ""don't lie?"".",,,,
??,??,?p d?p,shabby,,,,
???,???,?p m?t ch?un,an expression of irritation of what someone is saying,,,,
????,????,?p m?t lán yéh,"an expression of violent contempt or anger for what someone is saying, ""what the fuck are you talking about?""",,,,
????,????,?p s?am ?p sei,(to chat three and four)to gossip, to chatter away,,,
Out,Out,?u,"(<out)behind the times, out of date, old-fashioned, out of touch",,,,
Out day,Out day,?u d?i,"(<out of date)behind the times, old-fashioned, out of touch",,,,
???,???,b?a b?a bai,"arrogant, flashy, showy, impressive (in positive or negative comments)",,,,
????,????,b?a b?a bai bai,"arrogant, flashy, showy, impressive, fantastic",,,,
??,??,b?a bai,"arrogant, flashy, showy, impressive (in positive or negative comments)",,,,
???,???,b?a hán bai,effing arrogant,,,,
?X?,?X?,b?a ?ks/iks?h bai,effing arrogant,,,,
??,??,b?a j?a,"talkative, gossipy, ""bitchy""",,,,
?K?,?K?,b?a k?i bai,effing arrogant,,,,
?Q?,?Q?,b?a k?u bai,effing arrogant,,,,
??,??,b?a laaht,"fierce, tough, hard to handle (generally used to describe a woman)",,,,
????,????,b?a laaht chau chyun,"extremely ""cocky""",,,,
???,???,b?a lán bai,fucking arrogant,,,,
????,????,b?a sí bai bai,"arrogant, flashy, showy, impressive (in positive or negative comments)",,,,
?,?,b?a,(<bar)a bar (for drinking),,,,
??,??,b?a j?a,talkative, nagging, demanding (generally used with reference to women),,
??,??,b?a néoi,"a bar-girl, i.e. a woman serving drinks or working as a hostess in a night-club or bar",,,,
?,?,báa,to hold,,,,
??,??,báa ch?un,to do something that is pointless or without meaning,,,,
??,??,báa fó,"extremely angry, filled with rage",,,,
??,??,báa f?ng,"to keep watch, to keep a look-out, e.g. for a police raid",,,,
???,???,báa géi fó,"extremely angry, filled with rage",,,,
??,??,báa gw??n,"to keep watch, to keep a look-out; a look out",,,,
??,??,báa gwái,to do something that is pointless or without meaning,,,,
???,???,báa gwái fó,extremely angry,,,,
?????,?????,báa háu lóng gwo yàuh,"(mouth greased with oil)flattering, ""greasy"", smooth-tongued",,,,
??,??,báa lán,"an obscene expression for completely useless, completely pointless, ""fucking pointless""",,,,
???,???,báa m?t ch?un,"an expression of irritation at something pointless, ""what's the point?""",,,,
??,??,báa paau,"1. pride, arrogance2. ability, strength",,,,
??,??,báa pei,to do something that is pointless or without meaning,,,,
??,??,báa tok,"1. completely useless, completely pointless2. to guard the entrance",,,,
?,?,baa,"to occupy, to obstruct",,,,
??,??,baa wái,1. to grab a seat2. to grab a table and save it while someone else collects the food (e.g. in a fast food restaurant),,,,
??,??,baa wòhng,1. to use a service but avoid paying for it2. to be a bully,,,,
???,???,baa wòhng g?i,to use the service of a prostitute without paying,,,,
???,???,baa wòhng ch?an,a free meal obtained by leaving a restaurant without paying,,,,
???,???,baa wòhng f?a,"(flowery empress)a though woman, e.g. a fearsome policewoman",,,,
???,???,baa wòhng haak,"someone who uses a service but tries to avoid payment for it (e.g. restaurant, nightclub, etc.)",,,,
?????,?????,baa wòhng ngaahng séuhng g?ng,to force woman into sex,,,,
???,???,bàah bàa s?ng,"1. seriously2. quickly, in a flash",,,,
??,??,baah jauh,to decide not to do anything, to let a matter drop,,,
???,???,baak beih g?,(white nose guy)1. a failed womaniser2. someone who fails an examination,,,,
???,???,baahk ch? jái,(plain crazy boy)1. a crazy person2. a stupid person,,,,
???,???,baahk chit g?i,"1. steamed chicken2. a hairless person, a person without much body-hair, particulary a woman with no pubic hair",,,,
??,??,baahk f?n,(white powder)heroin,,,,
??,??,baahk fú,(white tiger)a woman with no pubic hair (either having shaved it off or being without it),,,,
???,???,baahk gaap ngáahn,(pigeon-eyed)snobbish,,,,
???,???,baahk gw?a jí,1. white melon seed2. a tranquiliser (triazolam),,,,
??,??,baahk gwo,"to waste time doing something, to do something in vain",,,,
??,??,baahk hók,1. stork2. someone who stands behind a mahjong or card-player looking over their shoulder.,,,,
??,??,baahk jaa,1. a jellyfish2. a traffic police officer,,,,
??,??,baahk jaa,1. a jellyfish2. a traffic police officer,,,,
???,???,baahk jí sin,"White Paper Fan, a senior triad official with the rank of ""advisor"". The code number associated with this rank is 415.",,,,
??,??,baahk johng,"to visit a shop or a person without any particular purpose, to be ""just looking"" in a shop",,,,
??,??,baahk jouh,to do pointless work, unrewarding work.,,,
??,??,baahk léhng,"(white collar)white-collar worker, office worker",,,,
??,??,baahk l?u,"a futile effort; work done in vain, for little reward.",,,,
??,??,baahk máah,"1. white horse2. someone who knows nothing, an ignoramus",,,,
????,????,baahk máah wòhng jí,"(prince on a white horse)1. someone who saves a particular situation2. someone who comes to the rescue3. a man who appears unexpectedly and wins the love of a woman, a ""Prince Charming"", a ""white knight""4. police motorcyclist",,,,
???,???,baahk mihn fán,1. white flour2. heroin,,,,
???,???,baahk m?ng m?ng,"pure white, very white",,,,
?SaiSai,?SaiSai,baahk sàaih sàaih,"very white, pure white",,,,
??,??,baahk sáu,"(white hands)1. to start from nothing2. to have a clean record, to not have a police record3. to be in prison for the first time, a first-timer",,,,
??,??,baahk sihk,to get a free meal.,,,,
???,???,baahk síu jé,(Miss White)heroin,,,,
??????,??????,baahk sy?t sy?t waaht ly?t ly?t,(white as snow and smooth)1. very white and smooth2. very clean,,,,
???,???,baahk tàuh lóu,1. white haired guy2. traffic police officer,,,,
???,???,baahk t?n ngòh,1. white swan2. to nag all day,,,,
??,??,baahk wàhn,white cloud,,,,
?,?,baahn,to pretend,,,,
??,??,baahn chéun,(to pretend stupid)to pretend ignorance, to pretend to be stupid.,,,
??,??,baahn chyun,to be arrogant, to be vain,,,
???,???,baahn daaih dói,"to pretend to be powerful, to act like a big shot",,,,
????,????,baahn gwái baahn máah,"(to masquerade as a ghost and as a horse)to play a role to deceive somebody, to play a part to trick someone",,,,
??,??,baahn hòuh,to pretend to be rich,,,,
?????,?????,baahn jy? sihk lóuh fú,"(to pretend to be a pig and eat a tiger)to appear harmless, but in fact to be dangerous or ruthless, to pretend to be a fool but to be actually very clever",,,,
??,??,baahn leng,"to make oneself pretty (to get oneself ""dolled up"")",,,,
???,???,baahn lóuh síng,"to act as if one is very clever (when one is not), to be a ""know-it-all""",,,,
???,???,baahn saai háaih,(to act the big crab)to act as if one is powerful,,,,
?????,?????,baahn saai yùh h?a háaih,to act as if one is powerful,,,,
???,???,baahn saai yéh,"1. to be arrogant, boastful2. to lay claim to great power or influence.",,,,
???,???,baahn séi gáu,"(to pretend to be a dead dog)to pretend not to know, to behave as if one doesn't know something.",,,,
???,???,baahn séi háaih,(to pretend to be a dead crab)to offer passive resistance, to play dead,,,
??,??,baahn yéh,to pretend, to boast, to act as if one is powerful.,,
?,?,báai,to arrange,,,,
???,???,báai bohk l?k,"(to set up< block)to set up a road-block, to set up a speed trap (police)",,,,
??,??,báai chói,"to compete for prestige, reputation",,,,
??,??,báai d?ui,(to arrange a heap)to defecate,,,,
??,??,báai fún,"to show off one's status or wealth, to be arrogant, to be conscious of one's status or wealth.",,,,
??,??,báai jahn,to join the queue to wait for customers (taxi driver jargon),,,,
??,??,báai láuh,(to deploy a willow)to urinate (used of a man),,,,
???,???,báai lóuh mùhn,(to set an old door)to set a trap,,,,
???,???,báai lòuh w?,to make a bad mistake, to score an own goal (soccer jargon).,,,
??,??,báai mìhng,to be obvious.,,,,
????,????,báai mìhng g?ui máah,"(to put the chariot and horse pieces openly on the chessboard)to act in an overt manner, ""to put all one's cards on the table"", to show one's full strength or capability.",,,,
??,??,báai mùhn,to set a trap, to trick someone,,,
??,??,báai pìhng,to settle an argument, to calm a situation, to mediate in a conflict,,
???,???,báai séuhng tói,"to lure someone into a trap, to make someone a scapegoat, to ""set someone up""",,,,
???,???,báai w? lúng,to make a mistake, to score an own goal (scooer jargon).,,,
?,?,baai,to worship,,,,
??,??,baai s?an,to worship one's ancestors,,,,
??,??,baaih g?a,(to ruin family)to bring one's family to financial ruin. ,,,,
??,??,baak daap,"1. versatile, flexible2. an all-rounder, someone who can turn their hand to anything",,,,
??,??,baak g?ai,"1. ParknShop supermarket2. an exclamation, ""shit"", a way of suggesting the initials PK [p? k?i]  (a euphemistic variant of ?? [p?k g?ai])",,,,
?????,?????,baak j?k gam d? jáau,"(to have as many legs as a centipede) involved in many businesses or enterprises, having ""lots of irons in the fire"". ",,,,
??,??,baak yáuh,"the mother of one's friend (term of address, used instead of ?? [baak móu], since móu sounds like ? ""have not"").",,,,
??,??,baak yáuh,"the mother of one's friend (term of address, used instead of ?? [baak móu], since móu sounds like ? ""have not"").",,,,
??,??,baak yim,"naughty, badly behaved",,,,
???,???,baak yim s?ng,"naughty, badly behaved",,,,
?,?,b?an,a class,,,,
??,??,b?an máah,"(to gather horese)1. to get help from subordinates in a gang2. to deploy members of one's gang3. to call for back up, for reinforcements",,,,
??????,??????,b?an p?k g?ai hahm g?a cháan,"an insult for a group of people, ""that pack of bastards!""",,,,
??,??,b?an séui,"(to gather water)to borrow money, to get hold of money.",,,,
???,???,b?an w?a gw?i,"a bunch of kids, a group of young kids",,,,
????,????,y?t b?an w?a gw?i,"a bunch of kids, a group of young kids.",,,,
??,??,b?an yáu,1. to gather friends2. to get help from other gang members.,,,,
?,?,báan,a plank,,,,
??,??,báan fú,"(wodden axe)required skills, solutions for a problem",,,,
?,?,baat,"1. eight2. to chat, to tell3. to gossip4. nosy.",,,,
??,??,baat g?ng,a gossip (used of a man).,,,,
??,??,baat gwaa,"(taoist mirror)1. a gossip2. gossipy, nosy.",,,,
???,???,baat gwaa g?ng,a gossip (used of a man),,,,
????,????,baat gwaa j?u hón,a weekly tabloid-type magazine,,,,
???,???,baat gwaa m?i,"a nosy girl, a gossipy girl.",,,,
???,???,baat gwaa pó, a gossip (said of a woman).,,,,
???,???,baat jih b?,a woman's breasts pointing to the sides.,,,,
?????,?????,baat jih s?ang d?k jeng,"(born at an auspicious time)born under a lucky star, to be born lucky",,,,
??,??,baat m?i,"a nosy girl, a gossip.",,,,
??,??,baat pòh,"(eight women)a generic insult for a woman, a gossipy woman, a ""bitch"".",,,,
???,???,baak t?ng g?ai,(gossip through the whole street)rumours or gossip spreading. ,,,,
????,????,baak juhy sahp ?gh,"(eighth month fifth)the buttocks, the behind (the fifteenth of the eighth month in the lunar calendar is the Mid-Autumn festival, also known as the Moon Festival, and the moon is a visual pun for buttocks).",,,,
?,?,b?au,1. to wrap up2. to promise3. to keep a mistress or second wife. ,,,,
??,??,b?au bóu,"to promise, to guarantee.",,,,
???,???,b?au díng géng,"argumentative, quarrelsome. ",,,,
?????,?????,b?au hái ngóh s?n seuhng,"a statement made in support of a promise or arrangement, ""I personally guaranntee it!""",,,,
????,????,b?au hái s?n seuhng,"to guarantee, to swear, to affirm strongly.",,,,
??,??,b?au héi,(to wrap up)1. to financially support a mistress2. to take full charge of something3. to take on all the expenses for something (e.g. in taking over a restaurant for a private party).,,,,
??,??,b?au mèih/m?i,"to come last, to be at the bottom of the list (e.g. in a race, exam).",,,,
??,??,b?au pèih,the foreskin,,,,
????,????,b?au pèih wàahn gíng,(foreskin prospects)to be in a difficult position, to have bad prospects,,,
??,??,b?au téhng,"to be at the end of the queue, to be the last in line (truck driver jargon).",,,,
???,???,b?au yih n?ai,to keep a second wife or mistress (e.g. used of Hong Kong men who have a second wife in mainland China).,,,,
?,?,b?au,abalone,,,,
??,??,b?au yùh,1. abalone2. female genitalia,,,,
?,?,báau,1. to full up2. sexually satisfied.,,,,
?????,?????,báau nyúhn s? yàhm yuhk,when one is well-fed one's thoughts turn to sex. ,,,,
??,??,báau séi,"used to express irritation at what someone is saying, particulary used in response to boasting or self-praise, ""that's enough!"".",,,,
?????,?????,báau séi hòh l?an dáu,"used to express irritation at what someone is saying, particularly used in response to pompous behaviour or boasting",,,,
?,?,baau,"1. to explode2. to come sexually, to ejaculate.",,,,
??,??,baau b?u,"1. to let out a secret, to reveal a secret2. to go over the limit, i.e. to ""bust"" (e.g. in blackjack).",,,,
??,??,baau chóng,"(to explode the factory)1. to be bankrupt2. to go broke3. to go over the limit (to ""bust"").",,,,
??,??,baau ch?u,"to explode with anger; to swear in anger; using bad language, swearing.",,,,
???,???,baau daaih láahng,"a completely unexpected result in a race or match, a big ""upset"". ",,,,
???,???,baau daaih wohk,"(large wok explosion)to let out a secret, to reveal a secret. ",,,,
??,??,baau d?ng,"(to burst a lamp)very great, very high (e.g. number). ",,,,
??,??,baau fóng,(to burst open a room)to go to a short-time hotel for sex. ,,,,
??,??,baau gaak,(to explode a divide)to commit a burglary ,,,,
??,??,baau g?ng,(to explode a tank)1. to bleed2. a bleeding head3. a full bladder.,,,,
???,???,baau héung háu,"(to burst out with a loud mouth)1. to blow a whistle2. to blurt out something, to let a secret slip out3. to disclose a secret (to the police).",,,,
??,??,baau j?un,(to explode a bottle)1. to break a bottle in readiness for a fight2. to break a bottle over someone's head3. to square up for a fight.,,,,
??,??,baau j?ung,(to explode flour paste)to ejaculate,,,,
??,??,baau j?ng,a call girl or prostitute working overtime.,,,,
??,??,bauu láahng,"an unexpected result in a race or match, an ""upset""",,,,
???,???,bauu láahng mún,"an unexpected result in a race or match, an ""upset""",,,,
???,???,baau láahng gaak,"(to burst open a cold place)to commit a burglary, to burgle an empty building or apartment (criminal jargon)",,,,
??,??,baau líu,(to explode stuff)to disclose information, to let out a secret.,,,
???,???,baau máah láam,"to get a hotel room (instead of going home), to stay in a hotel. ",,,,
???,???,a variant of ???baau máah láam,"to get a hotel room (instead of going home), to stay in a hotel",,,,
???,???,a variant of ???baau máah láam,"to get a hotel room (instead of going home), to stay in a hotel",,,,
??,??,baau pàahng,"(to explode scaffolding)1. to be full to capacity2. a full house, ""standing room only""3. to have a full set of something (card games, mahjong)",,,,
??,??,baau sehk,(to explode rock)to defecate,,,,
??,??,baau t?ai,1. a burst tyre2. trousers with a hole in the backside.,,,,
??,??,baau tóuh,"(to explode belly)to give an off-the-cuff, impromptu speech, to make a few unprepared remarks.",,,,
???,???,baau wohk daaih yéh,to expose a big scandal.,,,,
????,????,baau wohk giht yéh,to expose a big scandal,,,,
????,????,baau wohk giht yéh,to expose a big scandal,,,,
???,???,baau y?m duhk,1. to behave in a very underhand or destructive way towards someone2. to go behind someone's back to harm them3. to reveal someone's plan.,,,,
???,???,baau yiht gaak,"(to burst open a hot place)to commit a burglary, to burgle a building or apartment which is found to be occupied (criminal jargon).",,,,
?,?,bahn,"1. stupid, dim-witted2. clumsy",,,,
??,??,bahn chaahk,"a fool, a disreputatble person (puns with the vulgar ?? [bahn chahk] ""stupid prick"").",,,,
??,??,bahn chaht,"(stupid prick)a vulgar term for a stupid person, a ""stupid prick"".",,,,
??? ,??? ,bahn chaht chaht,"a vulgar term for a very stupid person, ""stupid prick"".",,,,
??,??,bahn dáan,(stupid egg)1. stupid2. a fool.,,,,
??,??,bahn h?i,"(stupid cunt)a vulgar term for a very stupid person, ""stupid cunt""",,,,
??,??,bahn je,"(stupid sugar cane)a fool, an idiot.",,,,
??,??,bahn j?u,(stupid banana)a complete idiot.,,,,
???,???,bahn jy? tiu,(stupid pig jumping)bungee jumping,,,,
??,??,bahn lán,"(stupid prick)a vulgar term for a very stupid person, ""stupid prick"".",,,,
???,???,bahn lán chaht,"(stupid prick)a vulgar term for a very stupid person, ""stupid prick"".",,,,
??,??,bahn n?ai/bahn nàaih,(stupid milk)a fool,,,,
??,??,bahn saht,"a vulgar term for stupid, a euphemistic form of ?? [bahn ch?t",,,,
????,????,bahn sáu bahn geuk,"(stupid hand stupid leg)clumsy, awkward, ""all fingers and thumbs"".",,,,
????,????,bahn táu bahn nóuh,"(stupid head stupid brain)stupid-lookig, stupid.",,,,
?,?,b?i,lame,,,,
???,???,b?i geuk aahp,"(lame duck)a government or adminstration that has lost the ability to make important decisions, a ""lame duck"" administration.",,,,
?,?,bai,to close,,,,
??,??,bai ngai,"depressed, moody.",,,,
?,?,baih,bad,,,,
???,???,baih g?a fó,"an exclamation, equivalent to ""damn!"" or ""blast"".",,,,
?,?,b?k,north,,,,
??,??,b?k g?,"(northern woman)a woman from the northern part of China (or from anywhere in mainland China), particular one working in a nightclub in Hong Kong.",,,,
???,???,b?k g? g?i,(northern woman chicken)1. a prostitute from the northern part of China working in South China or Hong Kong2. a woman from mainland China working as a prostitute in Hong Kong.,,,,
????,????,b?k lauh duhng l?ai,"a Vietnamese (the first words of a Hong Kong Government message broadcast in Vietnamese warning Vietnamese ""boat-people"" not to come to Hong Kong).",,,,
??,??,b?k lóu,"a northerner, a man from North China, a man from mainland China (colloquial or derogative term).",,,,
??,??,b?k m?i,(northern girl)a young woman from mainland China in Hong Kong (often used to refer to mainland women working in a nightclub or as a prostitute).,,,,
??,??,b?k séuhng,(going north)to go from Hong Kong to mainland China for entertainment. ,,,,
??,??,b?k sóu,(northern sister-in-law)a middle-aged woman from mainland China in Hong Kong (often used to refer to mainland women working in a nightclub or as a prostitute).,,,,
??????,??????,b?n h?ui gám ge chèuhng mín,"(Bur Hur like scene)an extravagant scene, e.g. a wild party or a huge banquet.",,,,
??,??,b?n j?u,the penis,,,,
??,??,b?n j?u,the penis,,,,
???,???,b?n j?u jái,the penis,,,,
???,???,b?n j?u jái,the penis,,,,
??,??,b?n lóu,"a Filipino man, a ""Filipino guy"".",,,,
??,??,b?n m?i,1. a Filipino girl or young woman2. a Filipino domestic helper in Hong Kong.,,,,
??,??,b?n pó,a Filipino woman.,,,,
?,?,b?n,"to report someone (to a teacher, the police).",,,,
??,??,b?n sàhn (gám s?ng),"to murmur, to mutter indistinctly.",,,,
????,????,b?n sàhn,"to murmur, to mutter indistinctly",,,,
??????,??????,b?n sàhn d?u móuh geui j?n,(lies even when praying)always dishonest, extremely mendaciouis,,,
?,?,b?ng,1. broken2. a cent,,,,
???????,???????,y?t go b?ng d?u móuh síu dou,There's not a cent missing.,,,,
???????,???????,b?ng háu yàhn geih bang háu wún,"(a hare-lipped person shuns a chipped bowl)someone with a particular sensitivity, problem, or flaw resents anything that draws attention to it.",,,,
??,??,b?ng ngàah,"(broken teeth)uneven or protruding teeth (""goofy teeth"", a common nickname).",,,,
??,??,b?ng yíh,(ear protruding)to have protruding ears.,,,,
?,?,b?t,not,,,,
???,???,b?t d?k líuh,"1. wonderful, great, terrific2. too bad.",,,,
??,??,b?t géui,(can't raise)sexually impotent,,,,
????,????,b?t jeui mòuh gw?i,"an exclamation, urging someone to keep drinking until they are drunk.",,,,
????,????,b?t j? só waih,"abnormal, incomprehensible, unaccountable, ""out of line"".",,,,
?,?,multiple readings,[b?]1. beer2. to stare aggressively [p?] (<pair) pair,,,,
???,???,b? b? kéuih,to have a beer,,,,
??,??,b? f?i,to take heroin.,,,,
???,???,b? jáu m?i,"(beer girl)a young woman paid to promote a particular brand of beer in bars and pubs, generally dressed in an outfit based on the brand.",,,,
??,??,b? jyuh,"to stare, staring",,,,
???,???,b? m? aa,"used to challenge someone who is or is accused of staring, ""who are you staring at?""",,,,
???,???,b? y?t b?,to have a beer.,,,,
?,?,behng,ill,,,,
????,????,behng dou múng jó,so ill as to be muddle-headed or confused.,,,,
??,??,behng gwái,(sick ghost)1. a sickly person2. a weak person.,,,,
??,??,behng m?au,(sick cat)1. a sickly person2. a weak person.,,,,
Bell?,Bell?,behw h?i,"to nudge, to shove.",,,,
?,?,b?i,inferior,,,,
??,??,b?i péi,"despicable, immoral, of bad character.",,,,
?,?,a variant of ?béi,to give,,,,
?,?,béi,to give,,,,
???,???,a variant of ???béi gw?i dauh,"(to be teased by a tortoise) to be stopped by a policeman, to have one's identity checked by a policeman, to be stopped and searched.",,,,
???,???,béi gw?i dauh,"(to be teased by a tortoise) to be stopped by a policeman, to have one's identity checked by a policeman, to be stopped and searched.",,,,
???,???,a variant of ???béi gwái màih,(to be bewitched by a ghost)to be put under a spell. ,,,,
???,???,béi gwái màih,(to be bewitched by a ghost)to be put under a spell.,,,,
?Card,?Card,a variant of ?Cardbéi k?at,(to give one's card)to pay with a credit card.,,,,
?Card,?Card,béi k?at,(to give one's card)to pay with a credit card.,,,,
??,??,a variant of ??béi mín,"to give face to, to be respectful towards, to pay respect to.",,,,
??,??,béi mín,"to give face to, to be respectful towards, to pay respect to.",,,,
???,???,a variant of ???béi s?m g?i,(to give heart and thought)1. to pay great attention to a task2. an expression of encouragement (to somebody who is doing something).,,,,
???,???,béi s?m g?i,(to give heart and thought)1. to pay great attention to a task2. an expression of encouragement (to somebody who is doing something).,,,,
???,???,a variant of ???béi yàhn dahn,(to be stewed)to be demoted. ,,,,
???,???,béi yàhn dahn,(to be stewed)to be demoted. ,,,,
???,???,a variant of ???béi yàhn f?i, to be dumped by one's lover,,,,
???,???,béi yàhn f?i, to be dumped by one's lover,,,,
?????,?????,a variant of ?????béi yàhn maaih jy? jái,"(to have one's piglet sold)to be betrayed, to be sold out by someone ",,,,
?????,?????,béi yàhn maaih jy? jái,"(to have one's piglet sold)to be betrayed, to be sold out by someone ",,,,
??????,??????,a variant of ??????béi yàhn sihk jó jek jy?,"(to have one's roast pig eaten)used to refer to the fact that one's girlfriend or future wife is not a virgin, that she had a previous lover.",,,,
??????,??????,béi yàhn sihk jó jek jy?,"(to have one's roast pig eaten)used to refer to the fact that one's girlfriend or future wife is not a virgin, that she had a previous lover.",,,,
????,????,a variant of ????béi yàhn tái séi,(to be seen as dead)to be seen as a loser,,,,
????,????,béi yàhn tái séi,(to be seen as dead)to be seen as a loser,,,,
?,?,bei,"secret, private",,,,
??,??,bei l?u,"(secret earnings)to work part-time without letting the boss know, ""to moonlight"" (puns with Peru).",,,,
?,?,beih,the nose,,,,
??,??,beih sí,(nose debris)mucus in the nose.,,,,
