"近"	"<b>Chin</b> is composed of 斤 <i>chin</i> an axe-head, a Chinese pound weight (= 1⅓ <i>lb. av.</i>, probably adopted from the weight of the axe-head) as phonetic, and the contraction of an obsolete word 辵 <i>cho</i> (辶 in composition) meaning to go on and stop as radical. The latter is commonly seen in characters dealing with movement, and is popularly known as the walking radical.</p>"
"习"	"<b>Hsi</b> is composed of 羽 <i>yü</i> feathers as radical and 白 <i>pai</i> white, and seems to have been associated with young birds practising flight.</p>"
"远"	"<b>Yüan</b> is composed of the walking radical and a common phonetic.  </p>"
"苟"	"<b>Kou</b> is composed, under its modern form, of 艸 <i>ts'ao</i> vegetation (艹 in composition) as radical, and 句 <i>chü</i> crooked as phonetic. It commonly means if, if only, etc.</p>"
"不"	"<b>Pu</b> is supposed to be a picture of a bird which is circling in the air and will <i>not</i> come down, the upper line representing the sky.</p>"
"教"	"<b>Chiao</b> is composed of 孝 <i>hsiao</i> filial piety as phonetic and an obsolete radical meaning to tap.</p>"
"乃"	"<b>Nai</b> was originally a picture of vapour struggling forth. It is now a conjunctive and disjunctive particle, with other and more unusual values, demonstrative and possessive.</p>"
"迁"	"<b>Ch'ien</b> is composed of the walking radical and a phonetic which means to ascend. The whole character originally meant to ascend, then to move from a given position, a departure from the norm, etc.</p>"
"道"	"<b>Tao</b> is composed of the walking radical and 首 <i>shou</i> head. It originally meant that which passes through, a road to be walked upon, and then by extension a road or method to be followed, as in philosophy, and even in stealing. Hence Taoism, the Doctrine of the Way, as taught by Lao Tzŭ , in antagonism to the Way taught by Confucius. 道人 <i>tao jen</i> was a term for Buddhists down to the end of the 5th cent. A.D., and Mr. T. W. Kingsmill has identified <i>tao</i> with the Buddhist <i>mârga</i>, the path which leads to Nirvana.</p>"
"贵"	"<b>Kuei</b> is composed of 貝 <i>pei</i>, a picture under its old form of a pearl-oyster, once a circulating medium in China; hence, precious, honourable, as radical, with a corruption of 臾 <i>k'uei</i><sup><small>4</small></sup> a basket as phonetic.</p>"
"以"	"<b>I</b> under its old form was the horary character 巳 <i>ssŭ</i> turned back to front, and its original meaning was to use, to take.</p>"
"专"	"<b>Chuan</b> is composed of 寸 <i>ts'un</i> an inch as radical, and a phonetic which, with the <i>ts'un</i> added, forms another important phonetic. Its original meaning is uncertain; but among its earliest senses is that of unity, singleness of purpose, special, etc.</p>"
"昔"	"<b>Hsi</b> is composed of 日 <i>jih</i> sun and the corruption of an obsolete character meaning stale meat. It originally meant dried meat, and is now used in the sense of formerly, of yore.</p>"
"孟"	"<b>Mêng</b> is composed of 子 <i>tzŭ</i> child as radical, with 皿 <i>min</i> or <i>ming</i> dishes as phonetic. It means chief, eldest, but is here the surname of the philosopher 孟子 <i>Mêng Tzŭ</i> , latinised by the Jesuit missionaries as above. He flourished B.C. 372—289, and his teachings are contained in the last of the Four Books.</p>"
"母"	"<b>Mu</b> has been regarded (1) as the picture of a woman embracing a child, or (2) as representing the breasts of a woman. It becomes 媽 <i>ma</i> or <i>ma-ma</i> to the child, as with us.</p>"
"择"	"<b>Tsê</b> is composed of 手 <i>shou</i> hand (扌 in combination), and a phonetic.</p>"
"邻"	"<b>Lin</b> is composed of 邑 <i>i</i> a town or district (⻏ in combination, always on the right) and 粦 <i>lin</i> lights which flit over old battle-fields, will-o'-the-wisps, as phonetic.</p>"
"处"	"<b>Ch'u</b> is composed of radical 虍 <i>hu</i> a tiger and 処 as phonetic. This latter appears to have been the original character. It is explained as 夂 <i>sui</i> to walk (obsolete) and 几 <i>chi</i> a bench, = to walk to a bench, <i>q.d.</i> to stop, to abide, which are still meanings of 處 when read <i>ch'u</i><sup><small>3</small></sup>, as also are to decide, to punish.</p>"
"子"	"<b>Tzŭ</b>, under its original form, was a rude picture of a child. Except in special cases it refers to males. It came to be used as a term of respect, sir, philosopher, and is now colloquially employed as an enclitic.</p>"
"学"	"<b>Hsüeh</b> is a corruption of 教 <i>chiao</i> to teach , the radical on the right being omitted and the left-hand portion modified by the addition of an obsolete word 冖 <i>mi</i> to cover, imparting the idea of ignorance. It originally meant to awake to a sense of one's position.</p>"
"断"	"<b>Tuan</b> has for its radical 斤 <i>chin</i> to cut wood, an axe , with a phonetic which was the old form of a word 絶 <i>chüeh</i> to break, and is said to express pictorially the idea of dividing into halves.</p>"
"机"	"<b>Chi</b> is composed of 木 <i>mu</i> wood as radical , with 幾 <i>chi</i> how many? as phonetic, and is rather the motive power than the machine itself, which is an extended sense.</p>"
"杼"	"<b>Chu</b> is composed of 木 <i>mu</i> wood as radical, with 予 <i>yü</i> I as phonetic, and is the shuttle for holding the thread of the woof (). What Mencius' mother did was to exemplify to her son the disastrous effect of want of continuity in learning by snapping the thread of the woof. Eitel translates, ""She <i>tore</i> (in his presence) <i>loom</i> and <i>shuttle.</i>"" Père Zottoli has ""fregit textorium radium."" But it was the thread which she broke, not the shuttle, the latter being put by synecdoche for its contents.</p>"
"窦"	"<b>Tou</b> is composed of 穴 <i>hsüeh</i> a hole as radical, with 賣 (), here an abbreviation for 瀆 <i>tu</i> a ditch, as phonetic. It was the surname of 竇禹鈞 Tou Yü-chün, a scholar of the 10th cent. A.D. He lived in 幽州 Yu-chou, a part of modern Chihli which fell under the jurisdiction of Yen; hence he received the sobriquet of Yen-shan, the name of the 順天 Shun-t'ien Prefecture under the 宋 Sung dynasty, A.D. 960–1260.</p>"
"燕"	"<b>Yen</b> was under its old form a picture of a flying swallow, the two halves of 北 <i>pei</i> north , between which 口 <i>k'ou</i> mouth is inserted, representing the wings, and 火 <i>huo</i> fire , under which radical it is now classed, giving a good idea of the forked tail.</p>"
"山"	"<b>Shan</b> was originally a picture of mountain peaks.</p>"
"有"	"<b>Yu</b> is composed of 月 <i>yüeh</i> moon as radical, below 又 <i>yu</i> a hand as phonetic. The latter portion is said to have been the original character, moon being added as a differentia when the written language began to grow. <i>Yu</i> is the root idea of being and possession, <i>q.d.</i> to exist, to have, which senses have been fancifully derived from the moon present, not eclipsed. Read <i>yu</i><sup><small>4</small></sup>, it means <i>plus</i>.</p>"
"义"	"<b>I</b> is composed of 羊 <i>yang</i> sheep above 我 <i>wo</i> I = my sheep, and points towards a great obligation in primitive ages. It can be best rendered in philosophy by duty towards one's neighbour. Thus it came to mean something provided from a sense of duty, as a burying-ground for the poor, troops to defend the people's liberties , etc. It also signifies meaning, purport.</p>"
"方"	"<b>Fang</b> originally meant, and is supposed to be a picture of, two boats joined together. Then it came to mean square, and by extension a place. Here it stands for the colloquial 方法 <i>fang fa</i> a means of doing. </p>"
"五"	"<b>Wu</b> was originally written <span style=""font-family:serif;"">X</span>, and for short <span style=""font-family: sans-serif;"">X</span>. It is now classed under radical 二 <i>êrh</i> two , representing heaven above and earth below, the cross lines shewing the interaction of the male and female principles of Chinese cosmogony.</p>"
"名"	"<b>Ming</b> is composed of 夕 <i>hsi</i> evening and 口 <i>k'ou</i> mouth as radical. It is explained thus: ""In the evening it is dark and one cannot see, so that it is necessary for a man to call out his name."" The word <i>ming</i> is now mostly used of a man's personal name, which is taboo except to parents and to the sovereign. Tou's five sons all rose to high office.</p>"
"俱"	"<b>Chü</b> is composed of 人 <i>jen</i> man as radical, with 具 <i>chü</i> as phonetic.</p>"
"扬"	"<b>Yang</b> is composed of 手 <i>shou</i> hand as radical, with a common phonetic which must be distinguished from 昜 <i>i</i>. </p>"
"养"	"<b>Yang</b> is composed of 羊 <i>yang</i> sheep as phonetic and 食 <i>shih</i> eat as radical, and means to bear children, to feed. Read <i>yang</i><sup><small>4</small></sup>, it means to minister to, to attend upon, especially one's parents.</p>"
"父"	"<b>Fu</b> was originally an ideogram, being composed of 又 <i>yu</i> again, which anciently meant a hand with three fingers stretched out and was the original form of the more modern 右 <i>yu</i> right hand, and a ferule. A common name for a father is 家嚴 <i>chia yen</i> the family severe one, while a mother is called 家慈 <i>chia tz'ŭ</i> the family gentle one. In the mouth of the child <i>fu</i> becomes 爹 <i>tieh</i> daddy. <i>Fu</i> sometimes = male.</p>"
"过"	"<b>Kuo</b> is composed of the walking radical and a common phonetic. It means to pass by or over; hence, to transgress, an error, a fault. It is used colloquially to form the past tense, thus: 來 <i>lai</i> come, 來過 came.</p>"
"严"	"<b>Yen</b> is composed of two 口 <i>k'ou</i> mouths which formed the ancient radical (now a single <i>k'ou</i>) and a phonetic. It originally meant a sharp order, hence severe.</p>"
"师"	"<b>Shih</b> is composed of an old form of 堆 <i>tui</i> a mound or bank on the left, with 帀 <i>tsa</i> to encompass as ancient (帀 <i>chin</i> napkin modern) radical on the right. It originally meant a body of 2500 soldiers , and its composition may possibly have reference to a mud fortress; then it came to mean to take as a model, a teacher, a master workman. Confucius said 三人同行必有我師 <i>san jen t'ung hsing, pi yu wo shih</i>, if three men are walking together, one will be my teacher, <i>i.e.</i> able to teach me something ().</p>"
"惰"	"<b>To</b> is composed of 心 <i>hsin</i> heart as radical and a phonetic.</p>"
"非"	"<b>Fei</b> is supposed to resemble a pair of wings placed back to back; hence, to turn the back on, to negative.</p>"
"所"	"<b>So</b> is composed of 戶 <i>hu</i> a leaf of 門 <i>mên</i> a door, and 斤 <i>chin</i>. Its original meaning was the sound of chopping. It then came to mean a place, <i>i.e</i>. was probably adopted to express an idea the sound for which already existed. The next stage was to apply this word in the sense of a relative pronoun. It will be found under radical <i>hu</i> in K'ang Hsi's dictionary, under <i>chin</i> in the 說文 <i>Shuo Wên</i> dictionary of the 1st cent. A.D.</p>"
"宜"	"<b>I</b> is composed, under its old form, of 多 <i>to</i> many contracted, below a roof and above a line = the ground. It originally meant in repose, sheltered, and now means to be right, fitting, proper.</p>"
"幼"	"<b>Yu</b> is an ideogram composed of 幺 <i>yao</i> small, said to be the picture of a new-born child, now the ace at dice, as radical, and 力 <i>li</i> strength; <i>sc.</i> youth.</p>"
"老"	"<b>Lao</b> was originally composed of 人 <i>jen</i> man, 毛 <i>mao</i> hair, and an obsolete character meaning to change; <i>q.d.</i> the hair turning white, seventy years of age.</p>"
"何"	"<b>Ho</b> is composed of 人 <i>jen</i> man as radical, with 可 <i>k'o</i> possibility, can, as phonetic. It is a common interrogative particle.</p>"
"为"	"<b>Wei</b> is composed of 爪 <i>chao</i> claws as radical, over the alleged picture of a female monkey, which is said to be fond of scratching. It came to mean to be, to do. Read <i>wei</i><sup><small>4</small></sup>, it means on behalf, in place of; hence to pawn.</p>"
"玉"	"<b>Yü</b> was originally composed of three equidistant horizontal lines joined by a vertical stroke. It is now written with a dot, which is omitted in composition, to distinguish it from 王 <i>wang</i>. It is the gem <i>par excellence</i> of China, a species of nephrite or jade, and is held to possess five virtues. It is used for all kinds of ornaments, and is also put into the mouths of corpses to preserve them from decay.</p>"
"琢"	"<b>Cho</b> is composed of 玉 <i>yü</i> jade as radical, and a phonetic which is 豕 <i>shih</i> pig with its feet tied together. It means to prepare jade.</p>"
"成"	"<b>Ch'êng</b> is composed of 戊 <i>mou</i> or <i>wu</i> flourishing, and what under the old form was 丁 <i>ting</i> a cyclical character, a man, a nail, etc. It means to accomplish, to complete.</p>"
"器"	"<b>Ch'i</b> is composed of four 口 <i>k'ou</i> mouths with 犬 <i>ch'üan</i> dog in the middle. It originally meant receptacles for food etc., the mouths of which are represented as guarded by a dog. It also means anything which can be put to some definite use. Confucius said 君子不器 <i>chün tzŭ pu ch'i</i> the superior man is not a thing, <i>i.e.</i> of restricted use; mathematically, he is not a function of one variable but of many.</p>"
"知"	"<b>Chih</b> is composed of 矢 <i>shih</i> the arrow or bolt in a crossbow as radical and phonetic, and 口 <i>k'ou</i> mouth. It is defined in the <i>Shuo Wên</i> as language, the outward expression of inward ideas; but from the earliest times it is found meaning to know, to perceive.</p>"
"人"	"<b>Jen</b> is in the possessive case by position and by logical requirements.</p>"
"少"	"<b>Shao</b> is composed of 小 <i>hsiao</i> small as opposed to 大 <i>ta</i> great, and a sweeping stroke from right to left. It has come by extension to mean young, and when preceding a man's name is used in the sense of the Younger So-and-So, as opposed to 老 the Elder. Its original meaning was few as opposed to 多 <i>to</i> many , in which sense it is now read <i>shao</i><sup><small>3</small></sup>.</p>"
"时"	"<b>Shih</b> has 日 <i>jih</i> the sun as radical, pointing towards the meaning, and 寺 <i>ssŭ</i> a temple as phonetic. The latter is composed of 寸 <i>ts'un</i> inch as radical, which seems to refer to regulations, below an abbreviation of 之 <i>chih</i> as phonetic, and is used in several important characters.</p>"
"亲"	"<b>Ch'in</b> is composed of 見 <i>chien</i> to see and a phonetic. It is defined in the <i>Shuo Wên</i> by 至 <i>chih</i> , and one of its earliest meanings was to love, close attachment to; hence it comes to mean parents, relatives.</p>"
"友"	"<b>Yu</b> is composed of two 又 <i>yu</i> hands entwined: hence its meaning. It is defined as ""of the same class or kind."" </p>"
"礼"	"<b>Li</b> is composed of 示 <i>shih</i> divine manifestation, to proclaim, etc., as radical, with a phonetic which meant a sacrificial vessel. It is defined as worship of the gods which brings happiness; hence, ritual. It bears also the varying meanings of etiquette, politeness, and propriety. It was coupled with music in the ancient educational system of China as an important factor in the art of government. Lao Tzŭ explained ceremonies as ""the outward expression of inward feelings,"" while admitting in another utterance that they are but ""the veneer of loyalty and good faith."" For the Book of Rites.</p>"
"仪"	"<b>I</b> is simply <i>i</i> duty towards one's neighbour as phonetic, with 人 <i>jen</i> man as radical. It originally meant a limit; then usages, observances, etc.</p>"
"香"	"<b>Hsiang</b> is a corruption of 黍 <i>shu</i> millet over 甘 <i>kan</i> sweet. It means scented, fragrant, as in Hongkong (Cantonese pronunciation), the second syllable being 港 <i>chiang</i> a lagoon. It is here the personal name of a man surnamed 黃 <i>Huang</i> , of the 2nd cent. A.D., famous as a model of filial piety</p>"
"九"	"<b>Chiu</b> is supposed to represent the weakening of the male numbers (). 九九 nine nines is a term for arithmetic.</p>"
"龄"	"<b>Ling</b> is composed of 齒 <i>ch'ih</i> teeth as radical, with <font xml:lang=""ko"" lang=""ko"">令</font> or 令 <i>ling</i> a command as phonetic. It means the front teeth, from which the sense of year, only found in the book-language, is probably derived.</p>"
"能"	"<b>Nêng</b> originally meant a bear, now written 熊 and pronounced <i>hsiung</i>. It is possible that the strength of the bear may have imparted the meaning of power to the character, which is now classed under radical 肉 <i>jou</i> flesh.</p>"
"温"	"<b>Wên</b> is composed of 水 <i>shui</i> water (氵 in composition, ) as radical, and a phonetic, the value of which is sometimes <i>wên</i> and sometimes <i>yün</i>. 溫水 <i>wên shui</i> is colloquial for warm water.</p>"
"席"	"<b>Hsi</b> is composed of 庶 <i>shu</i> many (contracted) and 巾 <i>chin</i> napkin as radical. It refers to the mats on which the ""many"" guests sat, and although chairs and tables were used in very early ages, the term mat is still applied to a banquet. It here refers to the plaited grass mats laid on beds, fine ones for coolness in summer, coarse ones for warmth in winter.</p>"
"于"	"<b>Yü</b> was originally the same as 于 <i>yü</i> which was developed from 亏 <i>yü</i> a picture of vapour extending. It is defined by 居 <i>chü</i> to be stationary, 往 <i>wang</i> to move towards, and 代 <i>tai</i> in place of. It is commonly used with such prepositional values as in, on, at, to, from, etc., all of which may be traced to one or other of the root-ideas.</p>"
"当"	"<b>Tang</b> is composed of 田 <i>t'ien</i> cultivated fields as radical, with 商 <i>shang</i> above it as phonetic. It is said to have derived its meaning of right or proper from the rectangular form in which fields are properly laid out. Read <i>tang</i><sup><small>4</small></sup>, it means to stand in place of, to pawn. In the latter sense it is often seen, of gigantic dimensions, on the blank walls of houses, and corresponds to the well-known sign of three balls in this country.</p>"
"执"	"<b>Chih</b> is composed of an ancient radical, also its phonetic, on the left, and 丸 <i>wan</i> balls on the right, the latter portion being a corruption of 手 <i>shou</i> hand and a stroke to the right. It means to arrest prisoners, to seize, and is now classed under radical 土 <i>t'u</i> earth.</p>"
"融"	"<b>Jung</b> is composed of 鬲 <i>li</i> a cauldron and 虫 <i>ch'ung</i> (short for 蟲) insect, reptile, as radical, and originally meant steam rising, its radical being associated in the Chinese mind with vaporous manifestations. The character now means clear, bright, intelligent, and is here the personal name of 孔融 K'ung Jung, died A.D. 208, a descendant of Confucius in the 20th generation.</p>"
"四"	"<b>Ssŭ</b> is supposed to be a picture of quartering ().</p>"
"岁"	"<b>Sui</b> is composed of 步 <i>pu</i> to step, to walk, and 戌 <i>hsü</i> a horary character as phonetic. It originally meant 木星 <i>mu hsing</i> wood-star, <i>i.e.</i> the planet Jupiter, also known to the Chinese as the year-star from its revolution in twelve years which was reckoned as one great year. It is now colloquially used as a year of one's life or age , and is classed under radical 止 <i>chih</i> to stop.</p>"
"让"	"<b>Jang</b> is composed of 言 <i>yen</i> words and 襄 <i>hsiang</i> which is an important phonetic ().</p>"
"梨"	"<b>Li</b> is composed of 木 <i>mu</i> wood as radical and 利 <i>li</i> sharp as phonetic. </p>"
"弟"	"<b>T'i</b> to behave as a younger brother is a verbal sense developed from the original sound and signification of the character read <i>ti</i><sup><small>4</small></sup> = younger brother. For convenience' sake the former is sometimes written 悌, with 心 <i>hsin</i> heart as radical.</p>"
"长"	"<b>Chang</b> means to grow, one grown, an elder. The original word was <i>ch'ang</i><sup><small>2</small></sup>, composed of 兀 <i>wu</i> lofty, far, 𠤎 <i>hua</i> (the old form of 化, to be distinguished from 七 <i>ch'i</i> seven) to melt, to change, and 亡 <i>wang</i> to perish turned upside down, showing that this last is to be taken in an opposite sense. It is consequently explained as that which will go far without change, lasting, long.</p>"
"先"	"<b>Hsien</b> is composed of 人 <i>jen</i> man (under the form in which it appears when placed at the bottom of a character) as radical, and a corrupted 之. It used as a comparative adverb of time.</p>"
"首"	"<b>Shou</b> was originally written with three wavy strokes at the top, said to represent hair, the lower portion being an obsolete word for head.</p>"
"孝"	"<b>Hsiao</b> is composed of 老 <i>lao</i> old , as seen in combination, as phonetic, and 子 <i>tzŭ</i> child underneath as radical, thus picturing the idea of the young taking care of the old.</p>"
"次"	"<b>Tz'ŭ</b> is composed of 二 <i>êrh</i> two and 欠 <i>ch'ien</i> as radical. The latter now means to owe, but was originally a picture of vapour issuing from a man's head, hence to yawn. <i>Tz'ŭ</i> is explained as not in the front rank or of the best kind.</p>"
"见"	"<b>Chien</b> is composed of 目 <i>mu</i> eye as radical, and 人 <i>jen</i> man. It originally meant to look at, and has come to signify sense perception of any kind.</p>"
"闻"	"<b>Wên</b> is composed of 門 <i>mên</i> the two leaves of a door and 耳 <i>êrh</i> ear, and means to hear, to smell. Seeing and hearing stand for the acquisition of knowledge in general.</p>"
"某"	"<b>Mou</b> is composed of 木 <i>mu</i> wood as radical, and 甘 <i>kan</i> sweet. It originally meant sour plums, explained exactly as <i>lucus a non lucendo</i>. An old dictionary says, ""Things of which the names are not known are <i>mou</i>."" The term 某人 <i>mou jen</i> a certain man, is used in reading as a substitute for the personal names of Confucius and Mencius, which may not be uttered.</p>"
"数"	"<b>Shu</b> is composed of 攴 <i>p'u</i> to tap (in composition 夊, see <i>chiao</i>) as radical, with an important phonetic. It originally meant to count, probably based upon tapping, in which sense it is now read <i>shu</i><sup><small>3</small></sup>.</p>"
"识"	"<b>Shih</b> is composed of 言 <i>yen</i> words and an important phonetic. It answers more to <i>connaître</i> than to <i>savoir</i>.</p>"
"文"	"<b>Wên</b> originally meant cross lines, any markings or veins, streaks on a tiger, etc.; hence the written character, in which sense it was used until the introduction of 字 <i>tzŭ</i> (). </p>"
"一"	"<b>I</b> stands for Unity, the cosmogonical abstraction which was ultimately subdivided into two forces, the resultant being the visible material universe. It is the number of heaven.</p>"
"而"	"<b>Erh</b> originally meant whiskers. It is now used as a conjunction, sometimes disjunctive, and also as the pronoun you.</p>"
"十"	"<b>Shih</b> is composed of one line pointing east and west and another pointing north and south; it therefore represents the hub of the universe, also numerical completeness, the Chinese system being decimal.</p>"
"百"	"<b>Pai</b> (or <i>pŏ</i>) was composed, according to the <i>Shuo Wên</i>, of a contraction of 自 <i>tzŭ</i> nose as radical, and 一 <i>i</i> unity. In K'ang Hsi's dictionary, however, it is regarded as composed of 一 <i>i</i> one and 白 <i>pai</i> or <i>pŏ</i> white as radical, though <i>i</i> would be an intelligible radical and pai would be a perfect phonetic. The functions of radical and phonetic are often thus arbitrarily interchanged. <i>Pai</i> is much used by synecdoche for all, every; <i>e.g</i>. 百 姓 <i>pŏ hsing</i> the hundred surnames, <i>i.e</i>. all the surnames, of which no less than 4657 have been recorded; hence the people of China.</p>"
"千"	"<b>Ch'ien</b> is composed of 十 <i>shih</i> ten as radical, and a corruption of 人 <i>jen</i> man. 千歲 <i>ch'ien sui</i> a thousand years is a title of a prince.</p>"
"万"	"<b>Wan</b> was originally classed under radical 禸 <i>jou</i> the track of an animal, and meant insects; hence its primary meanings, myriad, all. It is now classed under radical 艸 <i>ts'ao</i> vegetation. It is often written 万 for short; sometimes the Indian 卍 <i>sauvastika</i> is employed. 萬歲 <i>wan sui</i> ten thousand years is a title of the Emperor.</p>"
"才"	"<b>Ts'ai</b> was originally written as a vertical line dividing two parallel horizontals, and meant vegetation sprouting. It came to mean force, power, talent, and is now classed under radical 手 <i>shou</i> hand.</p>"
"者"	"<b>Chê</b> is composed of 白 <i>tzŭ</i> (= 自) as radical, and a contraction of 旅 lü a body of 500 men (not a contraction of 老 lao old). It is impossible to say what was its original meaning; perhaps a leader of 500 men. It is now a particle imparting various forces, substantival (as here), adjectival, adverbial, etc., to words and phrases, and is classed under radical 老 lao old. For its phonetic value, based probably upon some older sound.</p>"
"天"	"<b>T'ien</b> is composed of 一 <i>i</i> one, its original radical, and 大 <i>ta</i> great, its present radical. Originally meaning the top, that which is above, the physical sky, it soon came to mean the invisible Power beyond, God; popularly, the old man in blue clothes.</p>"
"地"	"<b>Ti</b> is composed of 土 <i>t'u</i> earth, soil, as radical, and 也 <i>yeh</i> female, heaven being regarded as male.</p>"
"光"	"<b>Kuang</b> is composed of 火 <i>huo</i> fire above 人 <i>jen</i> man. The former used to be, the latter is now, its radical.</p>"
"月"	"<b>Yüeh</b> was originally a picture of the crescent moon, which may be faintly traced even in its modern form. It came to be used for lunar month, twelve of which go to the year, the difference between the lunar and solar years being made up by seven intercalary months in nineteen years.</p>"
"星"	"<b>Hsing</b> was originally 生 <i>shêng</i> to produce as phonetic, with three circles at the points of its then trident-like form. Under a later form these circles became three 日 <i>jih</i> suns, which combination was then the radical of the character. These were reduced to one, its modern radical. It is explained as the pure, ethereal portion of the universe, which rises to heaven and manifests itself as stars.</p>"
"纲"	"<b>Kang</b> is composed of 糹<i>ssŭ</i> silk as radical, with 岡 <i>kang</i> a mountain ridge as phonetic. It originally meant a rope, together, and must be carefully distinguished from 網 <i>wang</i> a net.</p>"
"君"	"<b>Chün</b> is composed of 尹 <i>yin</i> to rule, with 口 <i>k'ou</i> mouth as radical; hence one whose commands are respected, a ruler. 君子 <i>chün tzŭ</i> is the superior or perfect man of Confucian ethics.</p>"
"臣"	"<b>Ch'ên</b> under its original form, with curved outline, is supposed to represent a Minister bending before his Prince,</p><table style=""background:inherit; display:table; margin-right:auto; margin-left:auto; text-align:center;""><tbody><tr style=""text-align:left;""><td><div style=""line-height:1; font-size: 83%;""><div class=""poem""><p>As lofty lords before an Eastern throne<br>Bend the whole body, not the head alone.</p></div></div></td></tr></tbody></table><p>The term has been extended to include any one ruled, a subject, which is the meaning here.</p>"
"夫"	"<b>Fu</b> is composed, like Heaven of 一 <i>i</i> one and 大 <i>ta</i> great, and seems to have formerly indicated men of exceptional character. It is now used for husband. Read <i>fu</i><sup><small>2</small></sup> = now, forasmuch as, etc.</p>"
"妇"	"<b>Fu</b> is composed of 女 <i>nü</i> woman as radical and 帚 <i>chou</i> a broom, and is emblematical of the duties of a wife.</p>"
"顺"	"<b>Shun</b> is composed of 頁 <i>yeh</i> head as radical, with 川 <i>ch'uan</i> flowing water as phonetic, and gives the idea of floating smoothly down the stream. </p>"
"曰"	"<b>Yüeh</b> under its old form was supposed to represent breath issuing from the mouth, <i>q.d</i>. speech.</p>"
"春"	"<b>Ch'un</b> is composed of 日 <i>jih</i> sun as radical, and a contraction in which 艸 <i>ts'ao</i> vegetation was once conspicuous. It is also used figuratively in the sense of joyous, pleasant.</p>"
"夏"	"<b>Hsia</b> is a contraction of 頁 <i>yeh</i> head, an obsolete word for hands, and an obsolete radical which is here said to refer to the feet. It originally meant an inhabitant of the Middle Kingdom, probably from the name of a dynasty which ruled China from B.C. 2205 to B.C. 1818.</p>"
"秋"	"<b>Ch'iu</b> is composed of 禾 <i>ho</i> grain, as radical, and 火 <i>huo</i> fire, suggesting the sense of harvest-time.</p>"
"冬"	"<b>Tung</b> is composed of 冫 <i>ping</i> an old word for ice, now used as a radical, and a contraction of 終 <i>chung</i> end, <i>sc</i>. the end of the year when ice comes. The modern word for ice is 冰 <i>ping</i>, formed by the simple addition of water.</p>"
