0氹	[tam]/1. to cajole someone/2. to pacify someone who is angry
PK	[pī kēi]/1. an exclamation, roughly equivalent to "damn" or "shit!" (euphemistic abbreviation for 仆街 pūk gāai)/2. a mean person, a nasty person, a "bastard"
pok	[pōk]/1. a bubble/2. courage, "guts"
pop	[pōk]/1. a bubble/2. courage, "guts"
port	[pōt]/(<report)/to report someone to the authorities, to "shop" someone
PR	[pī ā/pī ā lòuh]/a nightclub hostess (from "public relations")
Q	[kīu]/1. pretty, attractive, "cute"/2. a euphemistic term that can be substituted for the obscene swearwords 撚 lán, 鳩 gāu/3. one time, one session, e.g. sex
Quali	[kō lí]/qualifications, background, status
Q版	[kīu báan]/(Q version)/1. cute/2. a strange, weird or grotesque thing/3. an adult comic character who has an alter ego who is a child.
R	[āau]/to scrach
R晒頭	[āau saai tàuh]/(to scratch one's head)/to be completely lost in looking for a solution
R講	[āau góng]/to interrupt a conversation
short	[sōt]/retarded, slow-witted, stupid, crazy
short總掣	[sōt júng jai]/retarded, slow-witted, stupid, crazy
SOSO	[sōu sòuh]/(<social)/being friendly, chatting, being social
taste	[tēi sí]/(<taste)/taste, sense of style
un un吓	[an an há/háh]/(to wiggle one's body)/a person who is physically unsteady ("un" is a substitution for 䟴)
un un腳	[an an geuk]/(to jiggle one's feet)/to rise up in the world; to have no worries ("un" is a substitution for 䟴)
un腳	[an geuk]/to jiggle one's feet ("un" is a substitution for 䟴)
un身un勢	[un sān an sai]/(to wiggle one's body)/1. a person who is physically unsteady/2. an ungainly or awkward person/3. someone whose manner suggests they are low class ("un" is a substitution for 䟴)
update	[āp dēi]/(<up to date)/in fashion, trendy, in touch with current trends
We We Wet Wet	[wī wī wēt wēt]/1. to go out on the town/2. to have a good time
Wet	[wēt]/1. to go out on the town to have fun/2. to have a good time, to enjoy oneself
Wet場	[wēt chèuhng]/a place where young people go to have fun (disco, rave party, club)
Wet妹	[wēt mūi]/a young woman or a girl who likes to go out for a good time (bars, discos and clubs)
We哇鬼叫	[wī wā gwái giu]/shrieking and yelling, screaming
X佢鹵味黑過鬼呀	[díu kéuih lóuh méi, hāk gwo gwái a]/Fuck! Things are really bad.
Yap	[yaap]/1. no good, bad, low quality/2. ugly, bad-looking
YP仔	[wāai pī jái]/a prisoner under twenty-one years old (Hong Kong prisons).
㗎	[gàh]/a sentence final particle
㗎仔	[gàh jái]/1. a Japanese/2. a young Japanese man, a Japanese boy (colloquial or derogatory)
㗎佬	[gàh lóu]/a Japanese man (colloquial or derogatory)
㗎妹	[gàh mūi]/a young Japanese woman, a Japanese girl (colloquial or derogatory)
㗎話	[gàh wá]/the Japanese language
㗎頭	[gàh tàuh]/a Japanese person (colloquial or derogatory)
㢥	[duhng]/1. wood used in shipbuilding/2. to set a trap for someone; to frame someone (to "set someone up").
㢥旗	[duhng kèih]/(to plant one's flag}/1. to take power in an area (e.g. a triad society)/2. to set up a triad group in a particular area
㢥起床板	[duhng héi chòhng báan]/(to stand the bed-boards upright)/to stay awake thinking about a problem.
㣔差踏錯	[hàahng chā daahp cho]/to make a mistake, to do something wrong
㩒	[gahm]/to press
㩒機	[gahm gēi]/(to press machine)/to get money from a cash dispenser
㬌	[gíng]/a view
㬌轟	[gíng gwáng]/a hidden reason, a reason that is not obvious, a secret motive
䟴䟴吓	[an an há/háh]/(to wiggle one's body)/a person who is physically unsteady
䟴䟴腳	[an an geuk]/(to jiggle one's feet)/to rise up in the world; to have no worries
䟴腳	[an geuk]/to jiggle one's feet
䟴身䟴勢	[un sān an sai]/(to wiggle one's body)/1. a person who is physically unsteady/2. an ungainly or awkward person/3. someone whose manner suggests they are low class
一	[yāt]/one
一五一十	[yāt ńgh yāt sahp]/with all the details, in full, with nothing left out (e.g. of an account of some incident)
一人行一步	[yāt yàhn hàahng yāt bouh]/(each takes one step)/to compromise, to have both sides make a concession
一人計短，二人計長	[yāt yàhn gai dyún, yih yàhn gai chèuhng]/(one person's strategy is short, two people's strategy is long)/by cooperating one can achieve more, "two heads are better than one".
一仆一碌	[yāt pūk yāt lūk]/(one falls and one rolls)/to be in a great hurry
一件頭	[yāt gihn tāu]/one-piece
一個崩都冇少到	[yāt go bāng dōu móuh síu dou]/There's not a cent missing.
一個願打，一個願捱	[yāt go yuhn dá, yāt go yuhn ngàaih]/(one likes to hit, one likes to suffer)/a well-matched couple, a couple whose traits complement each other.
一刀兩斷	[yāt dōu léuhng dyuhn]/(one cut two pieces)/to make a clean break, to end a relationship, to have nothing more to do with
一劈屎	[yāt pehk sí]/1. a piece of excrement/2. a useless person, a "piece of shit"
一劈泥	[yāt pehk nàih]/(a piece of mud)/a useless person, a "piece of shit"
一口咬定	[yāt háu ngáauh dihng]/(to bite and hold)/to be extremely firm in putting forward one's view, to hold firm to one's stance
一口氣	[yāt háu hei]/in one breath (usually in reference to talking or drinking).
一句唔該使死人	[yāt geui m4 gōi sái séi yàhn]/(one utterance of thank you and working someone to death)/to make excessive demand on someone without offering reasonable reward.
一句講晒	[yāt geui góng saai]/1. an instruction for someone to get to the main point, to clarify what they want to say: "spit it out!", "get on with it", "don't beat about the bush!"/2. to be brief, to speak directly to the point
一哥	[yāt gō]/(number one brother)/1. a boss, a chief/2. the Hong Kong police commissoner/3. the Macau police commissioner/4. a triad leader
一啖砂糖一啖屎	[yāt daahm sāa tòhng yāt daahm sí]/(a taste of sugar and another of shit)/to describe someone treats another person as alternating between being nice and being nasty
一國兩制	[yāt gwok léuhng jai]/1. one country two systems/2. a message parlour which offers both sexual services and ordinary massage
一夜情	[yāt yeh chìhng]/a one-night-stand, a one-time casual sexual encounter
一天光晒	[yāt tīn gwōng saai]/(the sky all bright)/used to convey that the trouble has passed
一字咁錢	[yāt jih gam chín]/(as easy as character one)/extremely simple, very easty, "as easy as 1-2-3", "as easy as ABC".
一家便宜兩家著	[yāt gā pìhn yìh léuhng gā jeuhk]/(one familiy wins, two families benefit)/to do something which is beneficial to both parties, a "win-win situation".
一就一，二就二	[yāt jauh yāt, yih juah yih]/(one should be one and two should be two)/things should be made completely clear; distinctions should be clearly made
一干嘢	[yāt gōn yéh]/one thousand dollars
一戙都冇	[yāt duhng dōu móuh]/(not a single pile left)/left speechless, utterly defeated; with no money left, "cleaned out" (especially in gambling)
一手一腳	[yāt sáu yāt geuk]/(one hand one foot)/to be on one's own
一扑一碌	[yāt pūk yāt lūk]/(one falls and one rolls)/to be in a great hurry
一把火	[yāt bá fó]/extremely angry, filled with rage
一抽二lun	[yāt chāu yih lang]/(pulling one, and dragging two others)/1. carrying lots of different things/2. to have lots of family responsibility (e.g. looking after aged parents, children, etc.)
一抽二lung	[yāt chāu yih lang]/(pulling one, and dragging two others)/1. carrying lots of different things/2. to have lots of family responsibility (e.g. looking after aged parents, children, etc.)
一撇嘢	[yāt pit yéh]/one thousand dollars
一撇水	[yāt pit séui]/one thousand dollars
一擔擔	[yāt daam dāam]/similar; two of a kind; "birds of a feather"
一支公	[yāt jī gūng]/alone, by oneself (male).
一斤嘢	[yāt gān yéh]/a hundred dollars
一時一樣	[yāt sìh yāt yeuhng]/always changing one's mind, fickle
一時口快	[yāt sìh háu faai]/to speak too quickly, i.e. to say the wrong thing
一時唔偷雞做保長	[yāt sìh m4 tāu gāi jouh bóu jéung]/(just for once one does not steal a chicken, one becomes the head of the clan)/used to criticise or to tease somebody who has always been misbehaved, but who has done something decent for once and is absurdly proud of it.
一本萬利	[yāt bún maahn leih]/large profits gained from a small investment.
一本通書睇到老	[yāt bún tūng syū tái dou lóuh]/(reading the same almanac into old age)/rigid, inflexible
一朵鮮花插在牛糞上	[yāt dó sīn fā chaap joih ngàuh fan seuhng]/(a fresh flower stuck in cow shit)/a beautiful woman with an ugly or unattractive man
一條冷	[yāt tìuh lāang]/a person, a guy (Cantonse rendering of Chiu Chow language)
一條龍	[yāt tìuh lùhng]/(dragon)/1. a way of organising education such that children move from primary to middle and high school in the same institution/2. a complete service, available under one roof or at one location
一棚人	[yāt pàahng yàhn]/a group of people, a lot of people
一棟嘢	[yāt duhng yéh]/one thousand dollars.
一樓一	[yāt làuh yāt]/a one-woman vice establishment, one woman brothel (legal in Hong Kong)
一樓一架步	[yāt làuh yāt ga bouh]/a one-woman vice establishment, one woman brothel (legal in Hong Kong)
一樓一鳯	[yāt làuh yāt fúng]/(one floor one phoenix)/a one-woman vice establishment, one woman brothel (legal in Hong Kong)
一樣米樣百樣人	[yāt yeuhng máih yéuhng baak yeuhng yàhn]/(one kind of rice feeds a hundred kinds of people)/there are all kinds of people in the world (often used when commenting on someone's character).
一次生兩次熟	[yāt chi sāang léuhng chi suhk]/(first raw second cooked)/1. people get used to things quickly/2. things that are hard at first become easier/3. people gain experience quickly
一殼眼淚	[yāt hok ngáahn leuih]/(a ladle of tears)/1. to be tearful and distraught/2. to suffer a tragedy
一沉百踩	[yāt chàhm baak cháai]/(when someone has fallen, a hundred others will stomp on them)/once someone falls from power, other people are eager to criticise or exploit them.
一注香	[yāt jyu hēung]/a short period of time (i.e. the length of time it takes for one joss-stick to burn).
一流	[yāt làuh]/high quality, top class, the best
一物治一物，糯米治木蝨	[yāt maht jih yāt maht, noh máih jih muhk sāt]/(one thing rules over another, glutinous rice over bed-bugs)/everything or everyone has something that dominates or constrains it.
一猜嘢	[yāt chā yéh]/one thousand dollars
一班嘩鬼	[yāt bāan wāa gwāi]/a bunch of kids, a group of young kids.
一理通，百理明	[yāt léih tūng, baak léih mìhng]/(understanding one idea makes a hundred ideas comprehensible)/once one has mastered the basic idea, the rest is easy.
一疋布咁長	[yāt pāt bou gam chèuhng]/(as long as a roll of cloth)/used to preface a lengthy explanation or account, "it's a long story"
一皇兩后	[yāt wòhng léuhng hauh]/(one king two queens)/1. one man and two women having sex/2. a man accompanied by two prostitutes, a man having sex with two prostitutes
一皇多后	[yāt wòhng dō hauh]/(one kong more queens)/1. one man and two or more woman having sex/2. a man accompanied by two or more prostitutes
一皇雙后	[yāt wòhng sēung hauh]/(one king two queens)/1. one man and two women having sex/2. a man accompanied by two prostitutes, a man having sex with two prostitutes
一皮嘢	[yāt pèih yéh]/ten thousands dollars
一眼關七	[yāt ngáahn gwāan chāt]/(one eye following seven things)/to be on the alert, to be "on the look-out"
一矢雙鵰	[yāt chí sēung dīu]/(one arrow two eagles)/1. kill two birds with one stone/2. one man having sex with two women
一碌鳩	[yāt lūk gāu]/(like a log)/to be dim-witted, to be slow, to be dull, to be "a big lump"
一竹篙打一船人	[yāt jūk gōu dá yāt syùhn yàhn]/to overgeneralise in assigning blame, e.g. to blame a whole group of people for one person's mistake.
一筆OUT銷	[yāt bāt āu sīu]/(you are out the game)/a slogan used in the Hong Kong version of the quiz show "The Weakest Link", a play on the phrase 一筆勾銷 yāt bāt āu sīu.
一筆勾銷	[yāt bāt āu sīu]/everything is cancelled; to eliminate at one stroke; all debts are paid off
一筆還一筆	[yāt bāt wàahn yāt bāt]/(one sum belongs to one sum)/to treat two things separately, to argue that two things should be treated separately
一箭雙鵰	[yāt jin sēung dīu]/(to kill two birds of prey with one arrow)/1. kill two birds with one stone/2. one man having sex with two women
一粒臣	[yāt nāp sán]/a unit of ten cents
一粒花	[yāt nāp fā]/a police inspector, a probationary police inspector (police jargon, based on the badge design)
一粒鐘	[yāt nāp jūng]/one hour
一肚氣	[yāt tóuh hei]/to be angry
一腳牛屎	[yāt geuk ngàuh sí]/(legs covered in bull shit)/a country cousin, a "country bumpkin".
一腳踏兩船	[yāt geuk daahp léuhng syùhn]/(one foot stepping on two boats)/to be torn between two lovers, to have two lovers, to be involved with two lovers at the same time
一腳踏幾船	[yāt geuk daahp géi syùhn]/(one foot stepping on several boats)/to have more than one lovers, to be involved with several lovers at the same time.
一腳踢	[yāt geuk tek]/(one leg kick)/1. someone who gets things done on their own/2. a one-person operation, a "jack-of-all trades"
一舊	[yāt gauh]/one hundred (dollars)
一舊木	[yāt gauh muhk]/(one lump wood)/a slow-witted person
一舊飯	[yāt gauh faahn]/(a lump of cooked rice)/a stupid person, an idiot, a "stupid lump".
一草嘢	[yāt chóu yéh]/ten dollars
一萬銀	[yāt maahn ngàhn]/one thousand dollars
一蚊雞	[yāt mān gāi]/(one dollar chicken)/one dollar
一蟹不如蟹	[yāt háaih bāt yùh yāt háaih]/(one crab is worse than the other)/a declining quality from one generation, class, appointee, etc., to the next
一言驚醒夢人	[yāt yìhng gīng síng muhng jūng yàhn]/(one word wakening someone in dream)/used to describe a person suddenly becoming clear-mided upon listening to a word of wisdom.
一試便知龍與鳯	[yāt si bihn jī lùhng yúh fuhng]/(as soon as you try, you will ses whether it is a dragon or a phoenix)/the truth will be revealed upon a test, "the proof of the pudding is in the eating".
一講曹操，曹操就到	[yāt góng chòuh chōu, chòuh chōu jauh dou]/(if you mention Tsao Tsao he will appear)/if you mention something or someone by name it/they may appear, "talk of the devil", "speak of the devil and he comes running".
一身蟻	[yāt sān ngáih]/(whole body ants)/to get into trouble, to be in serious trouble
一輪嘴	[yāt léun jéui]/(one rotating mouth)/to talk continuously
一鑊泡	[yāt wohk póuh]/(one wok foam)/a chaotic situation; an unmanageable situation
一鑊炒起	[yāt wohk cháau héi]/to destroy, to smash
一鑊熟	[yāt wohk suhk]/(one wok cooked)/nothing left, utterly destroyed
一鑊粥	[yāt wohk jūk]/(one wok of congee)/a chaotic situation; an unmanageable situation
一隻二隻	[yāt jek yih jek]/naughty rascals, naughty young children
一隻履	[yāt jek kehk]/(like a clog)/to work very hard, to work "like a dog"
一雞死一雞鳴	[yāt gāi séi yāt gāi mìhng]/(one chicken died, one chicken crow)/when one person leaves a business or an occupation, another will take it up.
一面屁	[yāt mihn pei]/(one face fart)/to feel humiliated; to be humiliated by someone
一頭煙	[yāt tàuh yīn]/extremely busy
一頭霧水	[yāt tàuh mouh séui]/confused, not having any idea
一頸血	[yāt géng hyut]/(one neck blood)/to lose a great deal of money
丁	[dīng]/the fourth celestial stem
丁屎	[dīng sí]/1. trivial matters/2. a small amount/3. a person of no importance, a "little shit".
七	[chāt]/1. seven/2. euphemistic form of 柒 chaht "prick".
七七八八	[chāt chāt baat baat]/(seven seven eight eigth)/almost, more or less, nearly complete, nearly ready
七仔	[chāt jái]/(seven boy)/7-11 convenience store
七吓七吓	[chāt háh chāt háh]/stupid
七咕碌	[chāt gū lūk]/an obscene insult, a fool, "dickhead"
七嘴八舌	[chāt jéui baat sit]/(seven mouths eight tongues)/everyone talking at once.
七國咁亂	[chāt gwok gam lyuhn]/(as chaotic as the Warring States period)/chaotic, out of control
七彩	[chāt chói]/(seven colours)/extremely; chaotic, messy, in a mess, out of control
七碌	[chāt lūk]/(seven pieces)/a fool, an idiot
七老八十	[chāt lóuh baat saph]/(seven old eighty)/very old
三	[sāam]/three
三P	[sāam pī]/to have a threesome
三不管	[sāam bāt gún]/an uncontrolled area, a place which does not fall under any jurisdiction
三九唔識七	[sāam gáu m4 sīk chāt]/to be strangers, to have no connection or relationship
三個女人一個墟	[sāam go néuih yán yāt go hēui]/(three woman make a market)/when women get together they talk a lot, or make a lot of noise chattering.
三兩吓手勢	[sāam léuhng háh sáu sai]/(with two or three hand movements)/quickly and skillfully (when solving a problem).
三六	[sāam luhk]/(three six)/dog meat (as food) (three plus six equals nine, and the Cantonese for nine, 九 [gáu] is homophonous with 狗 [gáu], "dog")
三分鐘熱度	[sāam fān jūng yiht douh]/(hot for three minutes)/a fickle person, someone who gets enthusiastic and then quickly loses interest
三分顏色上大紅	[sāam fān ngàahn sīk séuhng daaih hùhng]/(three drops of colour expecting big red)/to be greedy, to have won an inch and expect a mile.
三劃	[sāam waahk]/(three stripes)/a police sergeant
三及第	[sāam kahp dái]/a kind of congee with pork meat, pig's liver, and pig's intestine.
三口六面	[sāam háu luhk mihn]/(three mouths, six faces)/to talk face-to-face, to talk directly to someone (without intermediary).
三句不離本行	[sāam geui bāt lèih bún hòhng]/(never make three utterances without touching on one's profession)/to talk shop
三合會	[sāam hahp wúi]/a triad society, triads
三味	[sāam méi]/(three flavours)/three sexual services offered by a prostitute, fellatio, anilingus and sexual intercourse.
三唔識七	[sāam m4 sīk chāt]/1. to be strangers, to have no connection or relationship/2. used to dismiss a remark as irrelevant or "bullshit"
三姑六婆	[sāam gū luhk pòh]/(three aunts and six ladies)/a group of gossipy women (particularly of elder women).
三尖八角	[sāam jīm baat gok]/(three points and eight corners)/of irregular shape (usually derogatory).
三幅被	[sāam fūk péih]/old-fashioned ideas, out-moded notions or things
三年唔發市，發市當三年	[sāam nìhn m4 faat síh, faat síh dong sāam nìhn]/(three years and no transaction, but one transaction is good for three years)/business with a very high profit margin and few transactions
三幾両	[sāam géi léuhng]/several, some, a few
三度板斧	[sāam douh báan fú]/(three strokes of the axe)/to have only a limited number of skills to deal with a problem, to have only "a few trick up one's sleeve".
三扒兩撥	[sāam pàh léuhng buht]/very quickly, in no time at all
三更窮五更富	[sāam gāang kùhng ńgh gāang fu]/(poor at midnight rich at dawn)/uncertain, insecure (life, fate)
三柴	[sāam chàaih]/(three firewood)/a sergeant, a police sergeant
三歲定八十	[sāam seui dihng baat sahp]/(three years old determines eighty years old)/one's character is formed at a young age, "the child is father to the man".
三缺一	[sāam kyut yāt]/(three missing one)/one player short for a game of mahjong (which requires four players).
三腳凳	[sāam geuk dang]/1. three-legged stool/2. an unreliable person
三腳雞	[sāam geuk gāi]/(three legged chicken)/a car with three wheels
三行	[sāam hóng]/(three occupations)/the construction business (refering to work with concrete, wood and paint).
三衰六旺	[sāam sēui luhk wohng]/good and bad luck, mixed fortunes, the ups and downs of life
三角嘜	[sāam gok māk]/(three cornered label)/a film classified in Hong Kong as "category III", i.e. a film forbidden to people under the age of eighteen.
三通	[sāam tūng]/three sexual services available from a prostitute, fellatio, anilingus and sexual intercourse
三長兩短	[sāam chèuhng léuhng dyún]/(three long, two short)/an unexpected disaster, especially sudden death or serious bodiliy injury.
三陪	[sāam pùih]/three services offered by a hostess in a nightclub, i.e. sitting, eating and drinking (and potentially having sex with the customer).
三隻手	[sāam jek sáu]/(three-handed)/a pickpocket.
三點三	[sāam dím sāam]/(three fifteen)/afternoon tea, to take afternoon tea
三點畢露	[sāam dím bāt louh]/full frontal nudity
三點盡露	[sāam dím jeuhn louh]/full frontal nudity
上	[séuhng]/to go up/[seuhng]/above
上位	[séuhng wái]/to be promoted, to rise up in an organisation
上屋搬下屋，唔見一籮穀	[séuhng ngūk būn haah ngūk, m4 gin yāt lòh gūk]/(when moving from the upper floor to the lower floor one will lose a basket of grains)/even moving house a short distance will cost you something
上岸	[séuhng ngohn]/(to climb onto the bank)/to make enough money to retire, especially from prostitution, from the criminal underword, or the life of a triad member.
上庄	[séuhng jōng]/(to ascend to the firm)/to join a committee (university student jargon)
上床	[séuhng chòhng]/(to go to bed)/to have sex, to go to bed with someone
上得山多終遇虎	[séuhng dāk sāan dō jūng yuh fú]/(if you go up the mountain often, you will eventually run into a tiger)/used as advice to someone who keeps taking risks but has so far been fortunate, telling them they will get into trouble sooner or later.
上枱	[séuhng tói]/1. to lure someone into a trap, to make someone a scapegoat, to "set someone up"/2. to have a meeting, to negotiate
上檯	[séuhng tói]/1. to lure someone into a trap, to make someone a scapegoat, to "set someone up"/2. to have a meeting, to negotiate
上氣唔接下氣	[séuhng hei m4 jip haah hei]/(upper breath doesn't match lower breath)/1. to pant, to be short breath/2. to be extremely busy, to be rushed off one's feet
上當	[séuhng dong]/(to go up to the stall)/to be fooled, to be taken in, to be "duped"
上癮	[séuhng yáhn]/to become addicted
上盤	[séuhng pún]/the favourite to win (in a contest)
上腦	[séuhng nóuh]/(to enter the brain)/to think obsessively about something bad or murky
上莊	[séuhng jōng]/(to ascend to the firm)/to join a committee (university student jargon)
上菜	[séuhng choi]/a good-looking young woman, high-class "talent"; high class girls, very attractive women
上足電	[séuhng jūk dihn]/having taken enough drugs
上路	[séuhng louh]/(to go up the road)/to die
上邊	[séuhng bīn/bihn]/(top side)/mainland China; the Beijing authorities
上陣不離父子兵	[séuhng jahn bāt lèih fuh jí bīng]/(when going to war, father and son must stand together)/cooperation between a father and son against adversity
上電	[séuhng dihn]/(to put up electricity)/to take, to inject a drug, to "shoot up"
上面	[séuhng mihn]/(place above)/mainland China, as viewed from Hong Kong
